"","sample","condition","geo","day","dose"
"43","COVIRS_84_V1","ChAd (V1, D6)","GSM5983855",6,1
"44","COVIRS_1_V1","ChAd (V1, D6)","GSM5983856",6,1
"45","COVIRS_53_V0","BNT (V1, D0)","GSM5983857",0,1
"46","COVIRS_83_V0","BNT (V1, D0)","GSM5983858",0,1
"47","COVIRS_2_V1","BNT (V1, D6)","GSM5983859",6,1
"48","COVIRS_5_V1","BNT (V1, D6)","GSM5983860",6,1
"49","COVIRS_67_V0","ChAd (V1, D0)","GSM5983861",0,1
"50","COVIRS_4_V0","ChAd (V1, D0)","GSM5983862",0,1
"51","COVIRS_6_V1","ChAd (V1, D6)","GSM5983863",6,1
"52","COVIRS_8_V1","ChAd (V1, D6)","GSM5983864",6,1
"53","COVIRS_96_V0","BNT (V1, D0)","GSM5983865",0,1
"54","COVIRS_3_V0","BNT (V1, D0)","GSM5983866",0,1
"55","COVIRS_11_V1","BNT (V1, D6)","GSM5983867",6,1
"56","COVIRS_21_V1","BNT (V1, D6)","GSM5983868",6,1
"57","COVIRS_84_V0","ChAd (V1, D0)","GSM5983869",0,1
"58","COVIRS_1_V0","ChAd (V1, D0)","GSM5983870",0,1
"59","COVIRS_7_V1","ChAd (V1, D6)","GSM5983871",6,1
"60","COVIRS_9_V1","ChAd (V1, D6)","GSM5983872",6,1
"61","COVIRS_2_V0","BNT (V1, D0)","GSM5983873",0,1
"62","COVIRS_5_V0","BNT (V1, D0)","GSM5983874",0,1
"63","COVIRS_12_V1","BNT (V1, D6)","GSM5983875",6,1
"64","COVIRS_39_V1","BNT (V1, D6)","GSM5983876",6,1
"65","COVIRS_22_V0","BNT (V1, D0)","GSM6194088",0,1
"66","COVIRS_24_V0","BNT (V1, D0)","GSM6194089",0,1
"67","COVIRS_25_V0","BNT (V1, D0)","GSM6194090",0,1
"68","COVIRS_35_V0","BNT (V1, D0)","GSM6194091",0,1
"69","COVIRS_37_V0","BNT (V1, D0)","GSM6194092",0,1
"70","COVIRS_38_V0","BNT (V1, D0)","GSM6194093",0,1
"71","COVIRS_46_V1","BNT (V1, D6)","GSM6194094",6,1
"72","COVIRS_49_V1","BNT (V1, D6)","GSM6194095",6,1
"73","COVIRS_51_V1","BNT (V1, D6)","GSM6194096",6,1
"74","COVIRS_54_V1","BNT (V1, D6)","GSM6194097",6,1
"75","COVIRS_62_V1","BNT (V1, D6)","GSM6194098",6,1
"76","COVIRS_63_V1","BNT (V1, D6)","GSM6194099",6,1
"77","COVIRS_91_V2A","BNT (V2, D1)","GSM6194100",1,2
"78","COVIRS_92_V2A","BNT (V2, D1)","GSM6194101",1,2
"79","COVIRS_93_V2A","BNT (V2, D1)","GSM6194102",1,2
"80","COVIRS_94_V2A","BNT (V2, D1)","GSM6194103",1,2
"81","COVIRS_95_V2A","BNT (V2, D1)","GSM6194104",1,2
"82","COVIRS_96_V2A","BNT (V2, D1)","GSM6194105",1,2
"83","COVIRS_97_V2A","BNT (V2, D1)","GSM6194106",1,2
"84","COVIRS_99_V2A","BNT (V2, D1)","GSM6194107",1,2
"85","COVIRS_100_V2A","BNT (V2, D1)","GSM6194108",1,2
"86","COVIRS_101_V2A","BNT (V2, D1)","GSM6194109",1,2
"87","COVIRS_103_V2A","BNT (V2, D1)","GSM6194110",1,2
"88","COVIRS_104_V2A","BNT (V2, D1)","GSM6194111",1,2
"89","COVIRS_46_V0","BNT (V1, D0)","GSM6194112",0,1
"90","COVIRS_49_V0","BNT (V1, D0)","GSM6194113",0,1
"91","COVIRS_51_V0","BNT (V1, D0)","GSM6194114",0,1
"92","COVIRS_54_V0","BNT (V1, D0)","GSM6194115",0,1
"93","COVIRS_62_V0","BNT (V1, D0)","GSM6194116",0,1
"94","COVIRS_63_V0","BNT (V1, D0)","GSM6194117",0,1
"95","COVIRS_64_V1","BNT (V1, D6)","GSM6194118",6,1
"96","COVIRS_68_V1","BNT (V1, D6)","GSM6194119",6,1
"97","COVIRS_70_V1","BNT (V1, D6)","GSM6194120",6,1
"98","COVIRS_71_V1","BNT (V1, D6)","GSM6194121",6,1
"99","COVIRS_72_V1","BNT (V1, D6)","GSM6194122",6,1
"100","COVIRS_73_V1","BNT (V1, D6)","GSM6194123",6,1
"101","COVIRS_77_V2A","BNT (V2, D1)","GSM6194124",1,2
"102","COVIRS_78_V2A","BNT (V2, D1)","GSM6194125",1,2
"103","COVIRS_79_V2A","BNT (V2, D1)","GSM6194126",1,2
"104","COVIRS_81_V2A","BNT (V2, D1)","GSM6194127",1,2
"105","COVIRS_83_V2A","BNT (V2, D1)","GSM6194128",1,2
"106","COVIRS_84_V2A","ChAd (V2, D1)","GSM6194129",1,2
"107","COVIRS_85_V2A","BNT (V2, D1)","GSM6194130",1,2
"108","COVIRS_86_V2A","BNT (V2, D1)","GSM6194131",1,2
"109","COVIRS_87_V2A","BNT (V2, D1)","GSM6194132",1,2
"110","COVIRS_88_V2A","BNT (V2, D1)","GSM6194133",1,2
"111","COVIRS_89_V2A","BNT (V2, D1)","GSM6194134",1,2
"112","COVIRS_90_V2A","BNT (V2, D1)","GSM6194135",1,2
"113","COVIRS_64_V0","BNT (V1, D0)","GSM6194136",0,1
"114","COVIRS_68_V0","BNT (V1, D0)","GSM6194137",0,1
"115","COVIRS_70_V0","BNT (V1, D0)","GSM6194138",0,1
"116","COVIRS_71_V0","BNT (V1, D0)","GSM6194139",0,1
"117","COVIRS_72_V0","BNT (V1, D0)","GSM6194140",0,1
"118","COVIRS_73_V0","BNT (V1, D0)","GSM6194141",0,1
"119","COVIRS_74_V1","BNT (V1, D6)","GSM6194142",6,1
"120","COVIRS_76_V1","BNT (V1, D6)","GSM6194143",6,1
"121","COVIRS_77_V1","BNT (V1, D6)","GSM6194144",6,1
"122","COVIRS_79_V1","BNT (V1, D6)","GSM6194145",6,1
"123","COVIRS_81_V1","BNT (V1, D6)","GSM6194146",6,1
"124","COVIRS_85_V1","BNT (V1, D6)","GSM6194147",6,1
"125","COVIRS_63_V2A","BNT (V2, D1)","GSM6194148",1,2
"126","COVIRS_64_V2A","BNT (V2, D1)","GSM6194149",1,2
"127","COVIRS_66_V2A","ChAd (V2, D1)","GSM6194150",1,2
"128","COVIRS_67_V2A","ChAd (V2, D1)","GSM6194151",1,2
"129","COVIRS_68_V2A","BNT (V2, D1)","GSM6194152",1,2
"130","COVIRS_70_V2A","BNT (V2, D1)","GSM6194153",1,2
"131","COVIRS_71_V2A","BNT (V2, D1)","GSM6194154",1,2
"132","COVIRS_72_V2A","BNT (V2, D1)","GSM6194155",1,2
"133","COVIRS_73_V2A","BNT (V2, D1)","GSM6194156",1,2
"134","COVIRS_74_V2A","BNT (V2, D1)","GSM6194157",1,2
"135","COVIRS_75_V2A","BNT (V2, D1)","GSM6194158",1,2
"136","COVIRS_76_V2A","BNT (V2, D1)","GSM6194159",1,2
"137","COVIRS_74_V0","BNT (V1, D0)","GSM6194160",0,1
"138","COVIRS_76_V0","BNT (V1, D0)","GSM6194161",0,1
"139","COVIRS_77_V0","BNT (V1, D0)","GSM6194162",0,1
"140","COVIRS_79_V0","BNT (V1, D0)","GSM6194163",0,1
"141","COVIRS_81_V0","BNT (V1, D0)","GSM6194164",0,1
"142","COVIRS_85_V0","BNT (V1, D0)","GSM6194165",0,1
"143","COVIRS_86_V1","BNT (V1, D6)","GSM6194166",6,1
"144","COVIRS_87_V1","BNT (V1, D6)","GSM6194167",6,1
