"genes","cluster","gene_set"
"P2RY10","cluster 2","All genes, shared > 16 conditions"
"DPH5","cluster 2","All genes, shared > 16 conditions"
"SHTN1","cluster 2","All genes, shared > 16 conditions"
"MPZL1","cluster 2","All genes, shared > 16 conditions"
"RPS5","cluster 2","All genes, shared > 16 conditions"
"LDHB","cluster 2","All genes, shared > 16 conditions"
"PCK2","cluster 2","All genes, shared > 16 conditions"
"IRF5","cluster 2","All genes, shared > 16 conditions"
"CXCR5","cluster 2","All genes, shared > 16 conditions"
"PTGS2","cluster 2","All genes, shared > 16 conditions"
"CX3CR1","cluster 2","All genes, shared > 16 conditions"
"IL7R","cluster 2","All genes, shared > 16 conditions"
"CD2","cluster 2","All genes, shared > 16 conditions"
"CD40LG","cluster 2","All genes, shared > 16 conditions"
"TRIM32","cluster 2","All genes, shared > 16 conditions"
"PPP2R2B","cluster 2","All genes, shared > 16 conditions"
"SH2D2A","cluster 2","All genes, shared > 16 conditions"
"TBX21","cluster 2","All genes, shared > 16 conditions"
"FASLG","cluster 2","All genes, shared > 16 conditions"
"KLRG1","cluster 2","All genes, shared > 16 conditions"
"VAMP2","cluster 2","All genes, shared > 16 conditions"
"GNG7","cluster 2","All genes, shared > 16 conditions"
"C3AR1","cluster 2","All genes, shared > 16 conditions"
"P2RX5","cluster 2","All genes, shared > 16 conditions"
"SPTLC2","cluster 2","All genes, shared > 16 conditions"
"POU2AF1","cluster 2","All genes, shared > 16 conditions"
"PARP1","cluster 2","All genes, shared > 16 conditions"
"ATP1B1","cluster 2","All genes, shared > 16 conditions"
"MRPS18B","cluster 2","All genes, shared > 16 conditions"
"GIMAP4","cluster 2","All genes, shared > 16 conditions"
"NAGK","cluster 2","All genes, shared > 16 conditions"
"ADA2","cluster 2","All genes, shared > 16 conditions"
"SH2B3","cluster 2","All genes, shared > 16 conditions"
"MTSS1","cluster 2","All genes, shared > 16 conditions"
"ADGRE3","cluster 2","All genes, shared > 16 conditions"
"CTSB","cluster 2","All genes, shared > 16 conditions"
"GNPTAB","cluster 2","All genes, shared > 16 conditions"
"APH1B","cluster 2","All genes, shared > 16 conditions"
"MBTPS1","cluster 2","All genes, shared > 16 conditions"
"RPS15A","cluster 2","All genes, shared > 16 conditions"
"BECN1","cluster 2","All genes, shared > 16 conditions"
"MBD4","cluster 2","All genes, shared > 16 conditions"
"VPS37B","cluster 2","All genes, shared > 16 conditions"
"CD82","cluster 2","All genes, shared > 16 conditions"
