"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"68","BNT (V2, D1)","ChAd (V2, D1)",76,153,249,229,325,"RNA5SP202, RN7SKP230, RNY1, RNU4-2, RNU2-64P, RNU4-1, MIR3648-1, ENSG00000269028, RNA5S9, EEF1A1P19, RN7SKP71, ITGB4, RNU2-6P, RNU4ATAC, EEF1A1P35, RPS27P9, EEF1A1P12, SDC2, SNORA73B, RPL13AP7, SNORA22C, UBBP4, SCARNA1, SNORD3A, MIR3609, SNORA5A, RNA5-8SN5, RNA5-8SN2, SNORA11, RNU2-59P, SNORA49, SNORA23, SNORD15B, NPM1P39, GLIS2, EEF1A1P16, RPL7AP11, RPS3AP49, SNORD89, RNVU1-28, RPS15AP17, SNORD67, SNORD13, SNORA74B, SNORA54, RNA5SP141, RPSAP4, SNORA74A, SNORD9, RNA5SP225, RPS15AP38, RNA5SP215, RNA5SP149, SNORA63D, SNORA79B, RNU5B-1, RNA5SP242, RNA5SP298, RNU6-33P, TMSB4XP2, RNU6-6P, TMEM132E, SNORD3C, RNA5SP444, RNA5SP99, RNA5-8SN4, KLHDC9, RNU6-3P, FTH1P12, RNU6-1, RNA5SP145, RNA5SP199, SNORA38B, HBG2, RNU5A-1, RPL7AP31",33.19,23.38,1.62744508750196e-67,66.7884936562757
"69","BNT (V2, D1)","ChAd (V2, D7)",0,229,5,229,5,"",0,0,1.78558967833858e-10,9.74821833318918
"70","BNT (V2, D1)","ChAd-BNT (V2, D3)",9,220,346,229,355,"SDC2, GALNT14, PHF24, COLEC12, RAET1K, CLDN10, SLC7A10, ELAVL3, NCKAP5",3.93,2.54,8.52023747027816e-150,149.069548300703
"71","BNT (V2, D1)","ChAd-BNT (V2, D7)",7,222,538,229,545,"SDC2, PHF24, SPP1, HBG2, HSPB3, FBLN1, ELAVL3",3.06,1.28,7.29236911506536e-187,186.137131356943
"72","BNT (V2, D1)","ChAd-BNT (V3, D1)",39,190,186,229,225,"RNA5SP202, RN7SKP230, RNY1, RNU4-2, RNU2-64P, RNU4-1, ENSG00000269028, RNA5S9, EEF1A1P35, SNORA73B, SNORA22C, UBBP4, SCARNA1, MIR3609, SNORA5A, RNA5-8SN2, SNORA11, RNU2-59P, SNORA49, SNORA23, SNORD15B, SNORD89, SNORD67, SNORD13, SNORA74B, SNORA54, SNORA74A, SNORD9, RN7SL674P, SNORA79B, RNU5B-1, RNA5SP298, RNU6-33P, RNU6-6P, RNU6-3P, RNU6-1, SNORA38B, HBG2, RNU5A-1",17.03,17.33,2.30531676869485e-79,78.637269390689
"73","BNT (V2, D1)","ZF2001 (V3, D07)",2,227,225,229,230,"RFTN2, RBFOX3",0.87,0.87,2.99901965179088e-131,130.523020688413
"74","BNT (V2, D1)","ZF2001 (V3, D14)",0,229,78,229,78,"",0,0,5.20251239890698e-75,74.2837868760812
"75","BNT (V2, D1)","ZF2001 (V3, D28)",1,228,94,229,95,"RFTN2",0.44,1.05,4.93235051544781e-82,81.306946068022
"76","BNT (V3, D1)","BNT-MO (V3, D1)",41,88,336,129,377,"CCDC39, AGBL4, RN7SKP230, NCKAP5, XCR1, SNORD15B, EFNA1, FAM167B, SNORD3B-2, EIF4A2P1, WDR38, MIR5581, RNU1-2, SNORD3A, RNU5B-1, LINC00683, SLITRK5, RPL29P16, SAPCD1-AS1, HTR3A, LIM2, LINC01331, CCDC113, CLXN, LINC03060, RBFOX3, PPARGC1A, PABPC4-AS1, PRR36, CUZD1, RNA5S9, MIR497HG, SNORD67, ALKAL2, PFN4, CARD11-AS1, MIR4280HG, PSD2, MGAT5B, SNORD93, RNA5SP202",31.78,10.88,1.81871055054957e-63,62.7402364138017
"77","BNT (V3, D1)","ChAd (V1, D3)",17,112,403,129,420,"PGA3, ADAMTS2, FAM227A, NCKAP5, XCR1, HTRA1, CDH2, PHF24, COLEC12, HTR3A, CD207, PPARGC1A, ESPNL, WASIR2, IGSF23, CLDN10, KLF15",13.18,4.05,2.06568367823555e-97,96.6849361820006
