"","genes","infection_vaccination","n_conditions","comparison"
"285","CYSLTR2","Infection",5,"Infection only"
"286","DLL1","Infection",5,"Infection only"
"287","DTX1","Infection",5,"Infection only"
"288","EGR3","Infection",5,"Infection only"
"289","ELF1","Infection",5,"Infection only"
"290","EPAS1","Infection",5,"Infection only"
"291","EXO1","Infection",5,"Infection only"
"292","FASLG","Infection",5,"Infection only"
"293","FCRL1","Infection",5,"Infection only"
"294","FLT1","Infection",5,"Infection only"
"295","FUT7","Infection",5,"Infection only"
"296","FZD5","Infection",5,"Infection only"
"297","GBP2","Infection",5,"Infection only"
"298","GBP6","Infection",5,"Infection only"
"299","GNLY","Infection",5,"Infection only"
"300","GPR108","Infection",5,"Infection only"
"301","GPR171","Infection",5,"Infection only"
"302","GPR18","Infection",5,"Infection only"
"303","GPR183","Infection",5,"Infection only"
"304","GPR89B","Infection",5,"Infection only"
"305","HDAC4","Infection",5,"Infection only"
"306","HHEX","Infection",5,"Infection only"
"307","HIF1A","Infection",5,"Infection only"
"308","HLA-DPA1","Infection",5,"Infection only"
"309","ICAM1","Infection",5,"Infection only"
"310","IFI27","Infection",5,"Infection only"
"311","IFI30","Infection",5,"Infection only"
"312","IFITM1","Infection",5,"Infection only"
"313","IFITM2","Infection",5,"Infection only"
"314","IFNL1","Infection",5,"Infection only"
"315","IGFBP2","Infection",5,"Infection only"
"316","IL1RN","Infection",5,"Infection only"
"317","IL23R","Infection",5,"Infection only"
"318","IL4","Infection",5,"Infection only"
"319","ITGAM","Infection",5,"Infection only"
"320","KLF10","Infection",5,"Infection only"
"321","KLHL25","Infection",5,"Infection only"
"322","LAX1","Infection",5,"Infection only"
"323","LRRC14","Infection",5,"Infection only"
"324","LTB","Infection",5,"Infection only"
"325","MAP3K8","Infection",5,"Infection only"
"326","MAPKAPK2","Infection",5,"Infection only"
"327","MCU","Infection",5,"Infection only"
"328","MEN1","Infection",5,"Infection only"
"329","MID2","Infection",5,"Infection only"
"330","NCR3","Infection",5,"Infection only"
"331","NFATC2","Infection",5,"Infection only"
"332","NTRK1","Infection",5,"Infection only"
"333","PDCD1","Infection",5,"Infection only"
"334","PGLYRP1","Infection",5,"Infection only"
"335","PRF1","Infection",5,"Infection only"
"336","PRKCA","Infection",5,"Infection only"
"337","PRKCD","Infection",5,"Infection only"
"338","PRKCE","Infection",5,"Infection only"
"339","PRKCH","Infection",5,"Infection only"
"340","PRMT6","Infection",5,"Infection only"
"341","PTGDR2","Infection",5,"Infection only"
"342","PTX3","Infection",5,"Infection only"
"343","PURA","Infection",5,"Infection only"
"344","RAF1","Infection",5,"Infection only"
"345","RBM47","Infection",5,"Infection only"
"346","RNASE2","Infection",5,"Infection only"
"347","RNASE3","Infection",5,"Infection only"
"348","RNASE4","Infection",5,"Infection only"
"349","RPL22","Infection",5,"Infection only"
"350","RUNX3","Infection",5,"Infection only"
"351","SCRIB","Infection",5,"Infection only"
"352","SLAMF6","Infection",5,"Infection only"
"353","SMPD3","Infection",5,"Infection only"
"354","SNX27","Infection",5,"Infection only"
"355","SOCS5","Infection",5,"Infection only"
"356","SP100","Infection",5,"Infection only"
"357","STXBP1","Infection",5,"Infection only"
"358","STXBP4","Infection",5,"Infection only"
"359","TBX21","Infection",5,"Infection only"
"360","TGFB3","Infection",5,"Infection only"
"361","TGFBR3","Infection",5,"Infection only"
"362","TIFA","Infection",5,"Infection only"
"363","TMIGD2","Infection",5,"Infection only"
"364","TNFAIP3","Infection",5,"Infection only"
"365","TNFAIP6","Infection",5,"Infection only"
"366","TNFSF11","Infection",5,"Infection only"
"367","TRIM68","Infection",5,"Infection only"
"368","TUBB4B","Infection",5,"Infection only"
"369","TXK","Infection",5,"Infection only"
"370","ZBP1","Infection",5,"Infection only"
"371","ZBTB16","Infection",5,"Infection only"
"372","ZBTB34","Infection",5,"Infection only"
"373","ZDHHC1","Infection",5,"Infection only"
"374","ZFPM1","Infection",5,"Infection only"
"375","ACTR3","Infection",4,"Infection only"
"376","ADORA2A","Infection",4,"Infection only"
"377","ALAS1","Infection",4,"Infection only"
"378","ALOX15","Infection",4,"Infection only"
"379","ANG","Infection",4,"Infection only"
"380","AZI2","Infection",4,"Infection only"
"381","BACH2","Infection",4,"Infection only"
"382","BANK1","Infection",4,"Infection only"
"383","BATF","Infection",4,"Infection only"
"384","BATF2","Infection",4,"Infection only"
"385","BCL2","Infection",4,"Infection only"
"386","C1RL","Infection",4,"Infection only"
"387","CACTIN","Infection",4,"Infection only"
"388","CCL20","Infection",4,"Infection only"
"389","CCR8","Infection",4,"Infection only"
"390","CD200","Infection",4,"Infection only"
"391","CD27","Infection",4,"Infection only"
"392","CD274","Infection",4,"Infection only"
"393","CD79A","Infection",4,"Infection only"
"394","CD81","Infection",4,"Infection only"
"395","CD8A","Infection",4,"Infection only"
"396","CD8B","Infection",4,"Infection only"
"397","CD9","Infection",4,"Infection only"
"398","CDC42EP4","Infection",4,"Infection only"
"399","CEBPB","Infection",4,"Infection only"
"400","CLDN18","Infection",4,"Infection only"
"401","CLEC12B","Infection",4,"Infection only"
"402","CLEC4A","Infection",4,"Infection only"
"403","CNR2","Infection",4,"Infection only"
"404","CTSG","Infection",4,"Infection only"
"405","CX3CR1","Infection",4,"Infection only"
"406","CXCL16","Infection",4,"Infection only"
"407","DCST1","Infection",4,"Infection only"
"408","DOCK10","Infection",4,"Infection only"
"409","DPP4","Infection",4,"Infection only"
"410","EDN1","Infection",4,"Infection only"
"411","EDNRB","Infection",4,"Infection only"
"412","ELANE","Infection",4,"Infection only"
"413","EPHB2","Infection",4,"Infection only"
"414","EVI2B","Infection",4,"Infection only"
"415","FAS","Infection",4,"Infection only"
"416","FBXO9","Infection",4,"Infection only"
"417","GBP1","Infection",4,"Infection only"
"418","GPSM3","Infection",4,"Infection only"
"419","HLA-A","Infection",4,"Infection only"
"420","HLA-DPB1","Infection",4,"Infection only"
"421","HLA-DQA1","Infection",4,"Infection only"
"422","HLA-E","Infection",4,"Infection only"
"423","HLA-H","Infection",4,"Infection only"
"424","HRH2","Infection",4,"Infection only"
"425","IFI16","Infection",4,"Infection only"
"426","IFI44","Infection",4,"Infection only"
"427","IFI44L","Infection",4,"Infection only"
"428","IFIH1","Infection",4,"Infection only"
"429","IFNGR1","Infection",4,"Infection only"
"430","IGLL5","Infection",4,"Infection only"
"431","IKZF3","Infection",4,"Infection only"
"432","IL5RA","Infection",4,"Infection only"
"433","ITGA6","Infection",4,"Infection only"
"434","JUN","Infection",4,"Infection only"
"435","KIR2DL3","Infection",4,"Infection only"
"436","KLRC2","Infection",4,"Infection only"
"437","KLRC4-KLRK1","Infection",4,"Infection only"
"438","KLRK1","Infection",4,"Infection only"
"439","LIME1","Infection",4,"Infection only"
"440","MAPK3","Infection",4,"Infection only"
"441","MFSD6","Infection",4,"Infection only"
"442","MILR1","Infection",4,"Infection only"
"443","MIR146A","Infection",4,"Infection only"
"444","MPP1","Infection",4,"Infection only"
"445","MS4A1","Infection",4,"Infection only"
"446","MSH2","Infection",4,"Infection only"
"447","MYC","Infection",4,"Infection only"
"448","MYD88","Infection",4,"Infection only"
"449","NBN","Infection",4,"Infection only"
"450","NCR1","Infection",4,"Infection only"
"451","NMI","Infection",4,"Infection only"
"452","NOD2","Infection",4,"Infection only"
"453","OASL","Infection",4,"Infection only"
"454","PADI4","Infection",4,"Infection only"
"455","PARP14","Infection",4,"Infection only"
"456","PGLYRP4","Infection",4,"Infection only"
"457","PIK3AP1","Infection",4,"Infection only"
"458","PIK3R1","Infection",4,"Infection only"
"459","POLQ","Infection",4,"Infection only"
"460","PRG2","Infection",4,"Infection only"
"461","PRR7","Infection",4,"Infection only"
"462","PYHIN1","Infection",4,"Infection only"
"463","RAB43","Infection",4,"Infection only"
"464","RABGEF1","Infection",4,"Infection only"
"465","RAG1","Infection",4,"Infection only"
"466","RC3H1","Infection",4,"Infection only"
"467","RIPK2","Infection",4,"Infection only"
"468","RNASE6","Infection",4,"Infection only"
"469","ROMO1","Infection",4,"Infection only"
"470","RORA","Infection",4,"Infection only"
"471","S100A7","Infection",4,"Infection only"
"472","SELL","Infection",4,"Infection only"
"473","SFTPD","Infection",4,"Infection only"
"474","SH2D1A","Infection",4,"Infection only"
"475","SKAP1","Infection",4,"Infection only"
"476","SKIL","Infection",4,"Infection only"
"477","SLAMF1","Infection",4,"Infection only"
"478","SLC11A1","Infection",4,"Infection only"
"479","SLC22A13","Infection",4,"Infection only"
"480","SMAD7","Infection",4,"Infection only"
"481","SPTA1","Infection",4,"Infection only"
"482","TANK","Infection",4,"Infection only"
"483","TAP1","Infection",4,"Infection only"
"484","TMEM102","Infection",4,"Infection only"
"485","TOX","Infection",4,"Infection only"
"486","TP53","Infection",4,"Infection only"
"487","TREM1","Infection",4,"Infection only"
"488","TSPAN6","Infection",4,"Infection only"
"489","UBD","Infection",4,"Infection only"
"490","VAV3","Infection",4,"Infection only"
"491","YES1","Infection",4,"Infection only"
"492","ZC3HAV1","Infection",4,"Infection only"
"493","ZMPSTE24","Infection",4,"Infection only"
"494","ZNF16","Infection",4,"Infection only"
"495","ZNF683","Infection",4,"Infection only"
"496","ACKR3","Infection",3,"Infection only"
"497","ADAMTS13","Infection",3,"Infection only"
"498","AICDA","Infection",3,"Infection only"
"499","AKAP1","Infection",3,"Infection only"
"500","AKIRIN1","Infection",3,"Infection only"
"501","APBB1IP","Infection",3,"Infection only"
"502","APOBEC3D","Infection",3,"Infection only"
"503","ARHGEF5","Infection",3,"Infection only"
"504","ATM","Infection",3,"Infection only"
"505","ATP1B1","Infection",3,"Infection only"
"506","BAK1","Infection",3,"Infection only"
"507","BCR","Infection",3,"Infection only"
"508","BIRC3","Infection",3,"Infection only"
"509","BLK","Infection",3,"Infection only"
"510","BTN1A1","Infection",3,"Infection only"
"511","BTN2A3P","Infection",3,"Infection only"
"512","BTN3A1","Infection",3,"Infection only"
"513","C1QA","Infection",3,"Infection only"
"514","C1QB","Infection",3,"Infection only"
"515","C1QC","Infection",3,"Infection only"
"516","C8G","Infection",3,"Infection only"
"517","CACNB4","Infection",3,"Infection only"
"518","CASP1","Infection",3,"Infection only"
"519","CASP6","Infection",3,"Infection only"
"520","CAV1","Infection",3,"Infection only"
"521","CBLB","Infection",3,"Infection only"
"522","CCL5","Infection",3,"Infection only"
"523","CCRL2","Infection",3,"Infection only"
"524","CD160","Infection",3,"Infection only"
"525","CD19","Infection",3,"Infection only"
"526","CD1E","Infection",3,"Infection only"
"527","CD209","Infection",3,"Infection only"
"528","CD244","Infection",3,"Infection only"
"529","CD300LB","Infection",3,"Infection only"
"530","CD7","Infection",3,"Infection only"
"531","CD84","Infection",3,"Infection only"
"532","CDC42EP2","Infection",3,"Infection only"
"533","CDK6","Infection",3,"Infection only"
"534","CEBPA","Infection",3,"Infection only"
"535","CFB","Infection",3,"Infection only"
"536","CFD","Infection",3,"Infection only"
"537","CLEC7A","Infection",3,"Infection only"
"538","CNR1","Infection",3,"Infection only"
"539","CRIP1","Infection",3,"Infection only"
"540","CTLA4","Infection",3,"Infection only"
"541","CTSD","Infection",3,"Infection only"
"542","CXCL10","Infection",3,"Infection only"
"543","CXCL11","Infection",3,"Infection only"
"544","CXCL8","Infection",3,"Infection only"
"545","CXCR4","Infection",3,"Infection only"
"546","DDX1","Infection",3,"Infection only"
"547","DDX60","Infection",3,"Infection only"
"548","DTX3L","Infection",3,"Infection only"
"549","ECM1","Infection",3,"Infection only"
"550","ECSIT","Infection",3,"Infection only"
"551","EMILIN1","Infection",3,"Infection only"
"552","EPB42","Infection",3,"Infection only"
"553","EPG5","Infection",3,"Infection only"
"554","FADD","Infection",3,"Infection only"
"555","FAXDC2","Infection",3,"Infection only"
"556","FBN1","Infection",3,"Infection only"
"557","FFAR3","Infection",3,"Infection only"
"558","FN1","Infection",3,"Infection only"
"559","FOSL1","Infection",3,"Infection only"
"560","FOXP3","Infection",3,"Infection only"
"561","FPR1","Infection",3,"Infection only"
"562","FPR3","Infection",3,"Infection only"
"563","FSTL3","Infection",3,"Infection only"
"564","FYN","Infection",3,"Infection only"
"565","GCH1","Infection",3,"Infection only"
"566","HERC5","Infection",3,"Infection only"
"567","HFE","Infection",3,"Infection only"
"568","HHLA2","Infection",3,"Infection only"
"569","HLX","Infection",3,"Infection only"
"570","HOXA5","Infection",3,"Infection only"
"571","HOXB4","Infection",3,"Infection only"
"572","ICOS","Infection",3,"Infection only"
"573","IFI35","Infection",3,"Infection only"
"574","IFI6","Infection",3,"Infection only"
"575","IFIT1","Infection",3,"Infection only"
"576","IFIT3","Infection",3,"Infection only"
"577","IFIT5","Infection",3,"Infection only"
"578","IGF1","Infection",3,"Infection only"
"579","IGF1R","Infection",3,"Infection only"
"580","IL15","Infection",3,"Infection only"
"581","IL17RA","Infection",3,"Infection only"
"582","IL1RL2","Infection",3,"Infection only"
"583","IL32","Infection",3,"Infection only"
"584","IL34","Infection",3,"Infection only"
"585","IRAK2","Infection",3,"Infection only"
"586","ISG15","Infection",3,"Infection only"
"587","ITM2A","Infection",3,"Infection only"
"588","JCHAIN","Infection",3,"Infection only"
"589","KLF1","Infection",3,"Infection only"
"590","KMT2A","Infection",3,"Infection only"
"591","KRT1","Infection",3,"Infection only"
"592","LAMP3","Infection",3,"Infection only"
"593","LAT2","Infection",3,"Infection only"
"594","LGALS3","Infection",3,"Infection only"
"595","LILRA4","Infection",3,"Infection only"
"596","LMO4","Infection",3,"Infection only"
"597","LRP5","Infection",3,"Infection only"
"598","LRRC8A","Infection",3,"Infection only"
"599","LRRK2","Infection",3,"Infection only"
"600","LY86","Infection",3,"Infection only"
"601","LYN","Infection",3,"Infection only"
"602","MAD1L1","Infection",3,"Infection only"
"603","MAFB","Infection",3,"Infection only"
"604","MAP3K5","Infection",3,"Infection only"
"605","MARCO","Infection",3,"Infection only"
"606","MIR223","Infection",3,"Infection only"
"607","MMP28","Infection",3,"Infection only"
"608","MPEG1","Infection",3,"Infection only"
"609","MX1","Infection",3,"Infection only"
"610","NCAPH2","Infection",3,"Infection only"
"611","NCF2","Infection",3,"Infection only"
"612","NDRG1","Infection",3,"Infection only"
"613","NEDD9","Infection",3,"Infection only"
"614","NFKBID","Infection",3,"Infection only"
"615","NKG7","Infection",3,"Infection only"
"616","NLRC4","Infection",3,"Infection only"
"617","NLRP9","Infection",3,"Infection only"
"618","NR1H2","Infection",3,"Infection only"
"619","NR4A3","Infection",3,"Infection only"
"620","OAS1","Infection",3,"Infection only"
"621","OAS2","Infection",3,"Infection only"
"622","OAS3","Infection",3,"Infection only"
"623","OPTN","Infection",3,"Infection only"
"624","OTUD7B","Infection",3,"Infection only"
"625","OXSR1","Infection",3,"Infection only"
"626","PARP1","Infection",3,"Infection only"
"627","PAX5","Infection",3,"Infection only"
"628","PDGFD","Infection",3,"Infection only"
"629","PHF10","Infection",3,"Infection only"
"630","PKHD1L1","Infection",3,"Infection only"
"631","PLEC","Infection",3,"Infection only"
"632","PLEKHA1","Infection",3,"Infection only"
"633","PMAIP1","Infection",3,"Infection only"
"634","PML","Infection",3,"Infection only"
"635","PODXL2","Infection",3,"Infection only"
"636","POLB","Infection",3,"Infection only"
"637","POLR3D","Infection",3,"Infection only"
"638","POLR3E","Infection",3,"Infection only"
"639","PRG3","Infection",3,"Infection only"
"640","PRMT1","Infection",3,"Infection only"
"641","PSMB8","Infection",3,"Infection only"
"642","PSMB9","Infection",3,"Infection only"
"643","PTK6","Infection",3,"Infection only"
