"","genes","infection_vaccination","n_conditions","comparison"
"1784","IL13","Vaccination",1,"Vaccination only"
"1785","IL17RC","Vaccination",1,"Vaccination only"
"1786","IL19","Vaccination",1,"Vaccination only"
"1787","IL1RL1","Vaccination",1,"Vaccination only"
"1788","IL1RL2","Vaccination",1,"Vaccination only"
"1789","IL2","Vaccination",1,"Vaccination only"
"1790","IL2RB","Vaccination",1,"Vaccination only"
"1791","IL3","Vaccination",1,"Vaccination only"
"1792","IL31","Vaccination",1,"Vaccination only"
"1793","IL33","Vaccination",1,"Vaccination only"
"1794","IL34","Vaccination",1,"Vaccination only"
"1795","IL5","Vaccination",1,"Vaccination only"
"1796","ILDR2","Vaccination",1,"Vaccination only"
"1797","INHA","Vaccination",1,"Vaccination only"
"1798","INHBA","Vaccination",1,"Vaccination only"
"1799","IRF2BP2","Vaccination",1,"Vaccination only"
"1800","IRS2","Vaccination",1,"Vaccination only"
"1801","ITGB8","Vaccination",1,"Vaccination only"
"1802","JUND","Vaccination",1,"Vaccination only"
"1803","KDM5D","Vaccination",1,"Vaccination only"
"1804","KIR2DS1","Vaccination",1,"Vaccination only"
"1805","KLK7","Vaccination",1,"Vaccination only"
"1806","KLRB1","Vaccination",1,"Vaccination only"
"1807","KLRC3","Vaccination",1,"Vaccination only"
"1808","KLRD1","Vaccination",1,"Vaccination only"
"1809","KRT1","Vaccination",1,"Vaccination only"
"1810","KYNU","Vaccination",1,"Vaccination only"
"1811","LCN2","Vaccination",1,"Vaccination only"
"1812","LDLR","Vaccination",1,"Vaccination only"
"1813","LGALS9B","Vaccination",1,"Vaccination only"
"1814","LGALS9C","Vaccination",1,"Vaccination only"
"1815","LIME1","Vaccination",1,"Vaccination only"
"1816","LRFN5","Vaccination",1,"Vaccination only"
"1817","LTF","Vaccination",1,"Vaccination only"
"1818","MAP3K8","Vaccination",1,"Vaccination only"
"1819","MAPK10","Vaccination",1,"Vaccination only"
"1820","MASP1","Vaccination",1,"Vaccination only"
"1821","MEFV","Vaccination",1,"Vaccination only"
"1822","MIR142","Vaccination",1,"Vaccination only"
"1823","MIR181B1","Vaccination",1,"Vaccination only"
"1824","MIR21","Vaccination",1,"Vaccination only"
"1825","MIR222","Vaccination",1,"Vaccination only"
"1826","MMP28","Vaccination",1,"Vaccination only"
"1827","MMP8","Vaccination",1,"Vaccination only"
"1828","MPL","Vaccination",1,"Vaccination only"
"1829","MSMP","Vaccination",1,"Vaccination only"
"1830","MT1G","Vaccination",1,"Vaccination only"
"1831","N4BP3","Vaccination",1,"Vaccination only"
"1832","NCAPH2","Vaccination",1,"Vaccination only"
"1833","NCR1","Vaccination",1,"Vaccination only"
"1834","NCR3","Vaccination",1,"Vaccination only"
"1835","NECTIN2","Vaccination",1,"Vaccination only"
"1836","NEDD4","Vaccination",1,"Vaccination only"
"1837","NEURL3","Vaccination",1,"Vaccination only"
"1838","NFE2L2","Vaccination",1,"Vaccination only"
"1839","NINJ1","Vaccination",1,"Vaccination only"
"1840","NKX2-3","Vaccination",1,"Vaccination only"
"1841","NLRC4","Vaccination",1,"Vaccination only"
"1842","NLRC5","Vaccination",1,"Vaccination only"
"1843","NLRP9","Vaccination",1,"Vaccination only"
"1844","NOD2","Vaccination",1,"Vaccination only"
"1845","NR1D1","Vaccination",1,"Vaccination only"
"1846","NR1H3","Vaccination",1,"Vaccination only"
"1847","NRARP","Vaccination",1,"Vaccination only"
"1848","OLR1","Vaccination",1,"Vaccination only"
"1849","ONECUT1","Vaccination",1,"Vaccination only"
"1850","OPRM1","Vaccination",1,"Vaccination only"
"1851","P2RY12","Vaccination",1,"Vaccination only"
"1852","PBX1","Vaccination",1,"Vaccination only"
"1853","PCK1","Vaccination",1,"Vaccination only"
"1854","PF4","Vaccination",1,"Vaccination only"
"1855","PF4V1","Vaccination",1,"Vaccination only"
"1856","PGF","Vaccination",1,"Vaccination only"
"1857","PGLYRP2","Vaccination",1,"Vaccination only"
"1858","PGLYRP4","Vaccination",1,"Vaccination only"
"1859","PIK3R1","Vaccination",1,"Vaccination only"
"1860","PLA2G2E","Vaccination",1,"Vaccination only"
"1861","PLA2G2F","Vaccination",1,"Vaccination only"
"1862","PLA2G7","Vaccination",1,"Vaccination only"
"1863","POU4F1","Vaccination",1,"Vaccination only"
"1864","POU4F2","Vaccination",1,"Vaccination only"
"1865","PPARGC1B","Vaccination",1,"Vaccination only"
"1866","PPP2CA","Vaccination",1,"Vaccination only"
"1867","PRDX2","Vaccination",1,"Vaccination only"
"1868","PRF1","Vaccination",1,"Vaccination only"
"1869","PRG4","Vaccination",1,"Vaccination only"
"1870","PRR7","Vaccination",1,"Vaccination only"
"1871","PRSS2","Vaccination",1,"Vaccination only"
"1872","PRSS56","Vaccination",1,"Vaccination only"
"1873","PSG1","Vaccination",1,"Vaccination only"
"1874","PSG3","Vaccination",1,"Vaccination only"
"1875","PSG4","Vaccination",1,"Vaccination only"
"1876","PSMB11","Vaccination",1,"Vaccination only"
"1877","PTAFR","Vaccination",1,"Vaccination only"
"1878","PTPRD","Vaccination",1,"Vaccination only"
"1879","PYCARD","Vaccination",1,"Vaccination only"
"1880","RAB17","Vaccination",1,"Vaccination only"
"1881","RAB3B","Vaccination",1,"Vaccination only"
"1882","RAB7B","Vaccination",1,"Vaccination only"
"1883","RAET1E","Vaccination",1,"Vaccination only"
"1884","RAP1GAP","Vaccination",1,"Vaccination only"
"1885","RBCK1","Vaccination",1,"Vaccination only"
"1886","RBP4","Vaccination",1,"Vaccination only"
"1887","RELB","Vaccination",1,"Vaccination only"
"1888","RNASE2","Vaccination",1,"Vaccination only"
"1889","RNF19B","Vaccination",1,"Vaccination only"
"1890","RORC","Vaccination",1,"Vaccination only"
"1891","SAMHD1","Vaccination",1,"Vaccination only"
"1892","SCN11A","Vaccination",1,"Vaccination only"
"1893","SDC4","Vaccination",1,"Vaccination only"
"1894","SELE","Vaccination",1,"Vaccination only"
"1895","SELENOK","Vaccination",1,"Vaccination only"
"1896","SEMG1","Vaccination",1,"Vaccination only"
"1897","SFTPD","Vaccination",1,"Vaccination only"
"1898","SHFL","Vaccination",1,"Vaccination only"
"1899","SHH","Vaccination",1,"Vaccination only"
"1900","SIT1","Vaccination",1,"Vaccination only"
"1901","SIX4","Vaccination",1,"Vaccination only"
"1902","SLAMF7","Vaccination",1,"Vaccination only"
"1903","SLAMF9","Vaccination",1,"Vaccination only"
"1904","SLC30A8","Vaccination",1,"Vaccination only"
"1905","SLC7A11","Vaccination",1,"Vaccination only"
"1906","SLC7A5","Vaccination",1,"Vaccination only"
"1907","SLPI","Vaccination",1,"Vaccination only"
"1908","SMAD7","Vaccination",1,"Vaccination only"
"1909","SNAI2","Vaccination",1,"Vaccination only"
"1910","SNCA","Vaccination",1,"Vaccination only"
"1911","SOCS6","Vaccination",1,"Vaccination only"
"1912","SOX11","Vaccination",1,"Vaccination only"
"1913","SPNS2","Vaccination",1,"Vaccination only"
"1914","SRC","Vaccination",1,"Vaccination only"
"1915","SRMS","Vaccination",1,"Vaccination only"
"1916","SSC5D","Vaccination",1,"Vaccination only"
"1917","SSPOP","Vaccination",1,"Vaccination only"
"1918","SUSD4","Vaccination",1,"Vaccination only"
"1919","TAL1","Vaccination",1,"Vaccination only"
"1920","TBK1","Vaccination",1,"Vaccination only"
"1921","TBX21","Vaccination",1,"Vaccination only"
"1922","TCF21","Vaccination",1,"Vaccination only"
"1923","TF","Vaccination",1,"Vaccination only"
"1924","THY1","Vaccination",1,"Vaccination only"
"1925","TICAM1","Vaccination",1,"Vaccination only"
"1926","TMEM178A","Vaccination",1,"Vaccination only"
"1927","TNFRSF18","Vaccination",1,"Vaccination only"
"1928","TNFRSF4","Vaccination",1,"Vaccination only"
"1929","TNFSF15","Vaccination",1,"Vaccination only"
"1930","TNFSF4","Vaccination",1,"Vaccination only"
"1931","TRAV14DV4","Vaccination",1,"Vaccination only"
"1932","TRAV18","Vaccination",1,"Vaccination only"
"1933","TRAV30","Vaccination",1,"Vaccination only"
"1934","TRAV38-2DV8","Vaccination",1,"Vaccination only"
"1935","TRAV39","Vaccination",1,"Vaccination only"
"1936","TRAV8-2","Vaccination",1,"Vaccination only"
"1937","TRAV8-4","Vaccination",1,"Vaccination only"
"1938","TRBD1","Vaccination",1,"Vaccination only"
"1939","TRBJ1-1","Vaccination",1,"Vaccination only"
"1940","TRBJ1-5","Vaccination",1,"Vaccination only"
"1941","TRBJ1-6","Vaccination",1,"Vaccination only"
"1942","TRBJ2-3","Vaccination",1,"Vaccination only"
"1943","TRBV11-3","Vaccination",1,"Vaccination only"
"1944","TRBV13","Vaccination",1,"Vaccination only"
"1945","TRBV6-4","Vaccination",1,"Vaccination only"
"1946","TRBV6-5","Vaccination",1,"Vaccination only"
"1947","TRBV7-7","Vaccination",1,"Vaccination only"
"1948","TRDC","Vaccination",1,"Vaccination only"
"1949","TRDJ1","Vaccination",1,"Vaccination only"
"1950","TREM1","Vaccination",1,"Vaccination only"
"1951","TREM2","Vaccination",1,"Vaccination only"
"1952","TREML4","Vaccination",1,"Vaccination only"
"1953","TRGC1","Vaccination",1,"Vaccination only"
"1954","TRGV1","Vaccination",1,"Vaccination only"
"1955","TRGV5","Vaccination",1,"Vaccination only"
"1956","TRGV9","Vaccination",1,"Vaccination only"
"1957","TRIL","Vaccination",1,"Vaccination only"
"1958","TRIM10","Vaccination",1,"Vaccination only"
"1959","TRIM15","Vaccination",1,"Vaccination only"
"1960","TRIM29","Vaccination",1,"Vaccination only"
"1961","TRIM34","Vaccination",1,"Vaccination only"
"1962","TRIM49D1","Vaccination",1,"Vaccination only"
"1963","TRIM58","Vaccination",1,"Vaccination only"
"1964","TSC22D3","Vaccination",1,"Vaccination only"
"1965","TSPAN6","Vaccination",1,"Vaccination only"
"1966","TSPO2","Vaccination",1,"Vaccination only"
"1967","TYRO3","Vaccination",1,"Vaccination only"
"1968","ULBP1","Vaccination",1,"Vaccination only"
"1969","ULBP2","Vaccination",1,"Vaccination only"
"1970","ULBP3","Vaccination",1,"Vaccination only"
"1971","UNC93B1","Vaccination",1,"Vaccination only"
"1972","USP17L2","Vaccination",1,"Vaccination only"
"1973","VCAM1","Vaccination",1,"Vaccination only"
"1974","VPREB3","Vaccination",1,"Vaccination only"
"1975","WFDC11","Vaccination",1,"Vaccination only"
"1976","WFDC12","Vaccination",1,"Vaccination only"
"1977","WFDC2","Vaccination",1,"Vaccination only"
"1978","WFDC3","Vaccination",1,"Vaccination only"
"1979","WFDC5","Vaccination",1,"Vaccination only"
"1980","WNT1","Vaccination",1,"Vaccination only"
"1981","WNT3A","Vaccination",1,"Vaccination only"
"1982","WNT5A","Vaccination",1,"Vaccination only"
"1983","XCL2","Vaccination",1,"Vaccination only"
"1984","ZC3H12A","Vaccination",1,"Vaccination only"
"1985","ZFPM1","Vaccination",1,"Vaccination only"
"1986","ZNFX1","Vaccination",1,"Vaccination only"
"1987","A2M","Vaccination",2,"Infection and vaccination"
"1988","A2M","Infection",7,"Infection and vaccination"
"1989","ACKR2","Vaccination",1,"Infection and vaccination"
"1990","ACKR2","Infection",1,"Infection and vaccination"
"1991","ACKR3","Vaccination",1,"Infection and vaccination"
"1992","ACKR3","Infection",3,"Infection and vaccination"
"1993","ADAMDEC1","Vaccination",2,"Infection and vaccination"
"1994","ADAMDEC1","Infection",2,"Infection and vaccination"
"1995","ADAR","Vaccination",1,"Infection and vaccination"
"1996","ADAR","Infection",2,"Infection and vaccination"
"1997","ADGRG3","Vaccination",3,"Infection and vaccination"
"1998","ADGRG3","Infection",6,"Infection and vaccination"
"1999","ADM","Vaccination",3,"Infection and vaccination"
"2000","ADM","Infection",6,"Infection and vaccination"
"2001","ADORA2A","Vaccination",2,"Infection and vaccination"
"2002","ADORA2A","Infection",4,"Infection and vaccination"
"2003","AHR","Vaccination",1,"Infection and vaccination"
"2004","AHR","Infection",7,"Infection and vaccination"
"2005","AHSP","Vaccination",2,"Infection and vaccination"
"2006","AHSP","Infection",6,"Infection and vaccination"
"2007","AIF1","Vaccination",1,"Infection and vaccination"
"2008","AIF1","Infection",1,"Infection and vaccination"
"2009","AIM2","Vaccination",7,"Infection and vaccination"
"2010","AIM2","Infection",6,"Infection and vaccination"
"2011","AIRE","Vaccination",1,"Infection and vaccination"
"2012","AIRE","Infection",2,"Infection and vaccination"
"2013","ALAS2","Vaccination",2,"Infection and vaccination"
"2014","ALAS2","Infection",2,"Infection and vaccination"
"2015","ALOX15","Vaccination",3,"Infection and vaccination"
"2016","ALOX15","Infection",4,"Infection and vaccination"
"2017","ALPK1","Vaccination",3,"Infection and vaccination"
"2018","ALPK1","Infection",7,"Infection and vaccination"
"2019","ANXA3","Vaccination",1,"Infection and vaccination"
"2020","ANXA3","Infection",9,"Infection and vaccination"
"2021","APOA2","Vaccination",1,"Infection and vaccination"
"2022","APOA2","Infection",5,"Infection and vaccination"
"2023","APOBEC3A","Vaccination",5,"Infection and vaccination"
"2024","APOBEC3A","Infection",7,"Infection and vaccination"
"2025","APOBEC3B","Vaccination",6,"Infection and vaccination"
"2026","APOBEC3B","Infection",2,"Infection and vaccination"
"2027","APOE","Vaccination",1,"Infection and vaccination"
"2028","APOE","Infection",1,"Infection and vaccination"
"2029","APOL1","Vaccination",6,"Infection and vaccination"
"2030","APOL1","Infection",1,"Infection and vaccination"
"2031","AQP3","Vaccination",1,"Infection and vaccination"
"2032","AQP3","Infection",6,"Infection and vaccination"
"2033","ATP1B1","Vaccination",1,"Infection and vaccination"
"2034","ATP1B1","Infection",3,"Infection and vaccination"
"2035","AXL","Vaccination",3,"Infection and vaccination"
"2036","AXL","Infection",1,"Infection and vaccination"
"2037","AZU1","Vaccination",1,"Infection and vaccination"
"2038","AZU1","Infection",6,"Infection and vaccination"
"2039","BATF2","Vaccination",8,"Infection and vaccination"
"2040","BATF2","Infection",4,"Infection and vaccination"
"2041","BCL3","Vaccination",1,"Infection and vaccination"
"2042","BCL3","Infection",9,"Infection and vaccination"
"2043","BCL6","Vaccination",1,"Infection and vaccination"
"2044","BCL6","Infection",9,"Infection and vaccination"
"2045","BMI1","Vaccination",1,"Infection and vaccination"
"2046","BMI1","Infection",1,"Infection and vaccination"
"2047","BMX","Vaccination",1,"Infection and vaccination"
"2048","BMX","Infection",8,"Infection and vaccination"
"2049","BTN1A1","Vaccination",3,"Infection and vaccination"
"2050","BTN1A1","Infection",3,"Infection and vaccination"
"2051","BTN2A3P","Vaccination",1,"Infection and vaccination"
"2052","BTN2A3P","Infection",3,"Infection and vaccination"
"2053","BTNL8","Vaccination",2,"Infection and vaccination"
"2054","BTNL8","Infection",2,"Infection and vaccination"
"2055","BTNL9","Vaccination",1,"Infection and vaccination"
"2056","BTNL9","Infection",1,"Infection and vaccination"
"2057","C1QA","Vaccination",5,"Infection and vaccination"
"2058","C1QA","Infection",3,"Infection and vaccination"
"2059","C1QB","Vaccination",7,"Infection and vaccination"
"2060","C1QB","Infection",3,"Infection and vaccination"
"2061","C1QC","Vaccination",7,"Infection and vaccination"
"2062","C1QC","Infection",3,"Infection and vaccination"
"2063","C2","Vaccination",7,"Infection and vaccination"
"2064","C2","Infection",2,"Infection and vaccination"
"2065","C3AR1","Vaccination",4,"Infection and vaccination"
"2066","C3AR1","Infection",6,"Infection and vaccination"
"2067","C4BPA","Vaccination",2,"Infection and vaccination"
"2068","C4BPA","Infection",2,"Infection and vaccination"
"2069","C8G","Vaccination",1,"Infection and vaccination"
"2070","C8G","Infection",3,"Infection and vaccination"
"2071","CACNA1C","Vaccination",1,"Infection and vaccination"
"2072","CACNA1C","Infection",6,"Infection and vaccination"
"2073","CACNB4","Vaccination",2,"Infection and vaccination"
"2074","CACNB4","Infection",3,"Infection and vaccination"
"2075","CASP1","Vaccination",3,"Infection and vaccination"
"2076","CASP1","Infection",3,"Infection and vaccination"
"2077","CASP4","Vaccination",1,"Infection and vaccination"
"2078","CASP4","Infection",2,"Infection and vaccination"
"2079","CAV1","Vaccination",3,"Infection and vaccination"
"2080","CAV1","Infection",3,"Infection and vaccination"
"2081","CCL2","Vaccination",8,"Infection and vaccination"
"2082","CCL2","Infection",2,"Infection and vaccination"
"2083","CCL20","Vaccination",4,"Infection and vaccination"
"2084","CCL20","Infection",4,"Infection and vaccination"
"2085","CCL24","Vaccination",1,"Infection and vaccination"
"2086","CCL24","Infection",1,"Infection and vaccination"
"2087","CCL3L1","Vaccination",5,"Infection and vaccination"
"2088","CCL3L1","Infection",1,"Infection and vaccination"
"2089","CCL4","Vaccination",2,"Infection and vaccination"
"2090","CCL4","Infection",1,"Infection and vaccination"
"2091","CCNB2","Vaccination",3,"Infection and vaccination"
"2092","CCNB2","Infection",9,"Infection and vaccination"
"2093","CCR1","Vaccination",3,"Infection and vaccination"
"2094","CCR1","Infection",1,"Infection and vaccination"
"2095","CCR2","Vaccination",1,"Infection and vaccination"
"2096","CCR2","Infection",1,"Infection and vaccination"
"2097","CCR3","Vaccination",1,"Infection and vaccination"
"2098","CCR3","Infection",5,"Infection and vaccination"
"2099","CCRL2","Vaccination",5,"Infection and vaccination"
"2100","CCRL2","Infection",3,"Infection and vaccination"
"2101","CD177","Vaccination",1,"Infection and vaccination"
"2102","CD177","Infection",9,"Infection and vaccination"
"2103","CD1E","Vaccination",1,"Infection and vaccination"
"2104","CD1E","Infection",3,"Infection and vaccination"
"2105","CD209","Vaccination",2,"Infection and vaccination"
"2106","CD209","Infection",3,"Infection and vaccination"
"2107","CD247","Vaccination",1,"Infection and vaccination"
"2108","CD247","Infection",6,"Infection and vaccination"
"2109","CD274","Vaccination",6,"Infection and vaccination"
"2110","CD274","Infection",4,"Infection and vaccination"
"2111","CD276","Vaccination",3,"Infection and vaccination"
"2112","CD276","Infection",1,"Infection and vaccination"
"2113","CD300C","Vaccination",1,"Infection and vaccination"
"2114","CD300C","Infection",2,"Infection and vaccination"
"2115","CD300LD","Vaccination",2,"Infection and vaccination"
"2116","CD300LD","Infection",1,"Infection and vaccination"
"2117","CD320","Vaccination",1,"Infection and vaccination"
"2118","CD320","Infection",1,"Infection and vaccination"
"2119","CD34","Vaccination",2,"Infection and vaccination"
"2120","CD34","Infection",1,"Infection and vaccination"
"2121","CD38","Vaccination",3,"Infection and vaccination"
"2122","CD38","Infection",2,"Infection and vaccination"
"2123","CD40","Vaccination",1,"Infection and vaccination"
"2124","CD40","Infection",6,"Infection and vaccination"
"2125","CD7","Vaccination",1,"Infection and vaccination"
"2126","CD7","Infection",3,"Infection and vaccination"
"2127","CD83","Vaccination",3,"Infection and vaccination"
"2128","CD83","Infection",1,"Infection and vaccination"
"2129","CD9","Vaccination",1,"Infection and vaccination"
"2130","CD9","Infection",4,"Infection and vaccination"
"2131","CDC42","Vaccination",1,"Infection and vaccination"
"2132","CDC42","Infection",2,"Infection and vaccination"
"2133","CDC42EP2","Vaccination",3,"Infection and vaccination"
"2134","CDC42EP2","Infection",3,"Infection and vaccination"
"2135","CDKN1A","Vaccination",3,"Infection and vaccination"
"2136","CDKN1A","Infection",2,"Infection and vaccination"
"2137","CEACAM1","Vaccination",5,"Infection and vaccination"
"2138","CEACAM1","Infection",5,"Infection and vaccination"
"2139","CEACAM4","Vaccination",1,"Infection and vaccination"
"2140","CEACAM4","Infection",5,"Infection and vaccination"
"2141","CEACAM8","Vaccination",1,"Infection and vaccination"
"2142","CEACAM8","Infection",9,"Infection and vaccination"
"2143","CEBPA","Vaccination",1,"Infection and vaccination"
"2144","CEBPA","Infection",3,"Infection and vaccination"
"2145","CEBPB","Vaccination",3,"Infection and vaccination"
"2146","CEBPB","Infection",4,"Infection and vaccination"
"2147","CFB","Vaccination",6,"Infection and vaccination"
"2148","CFB","Infection",3,"Infection and vaccination"
"2149","CFD","Vaccination",3,"Infection and vaccination"
"2150","CFD","Infection",3,"Infection and vaccination"
"2151","CHGA","Vaccination",1,"Infection and vaccination"
"2152","CHGA","Infection",5,"Infection and vaccination"
"2153","CHIT1","Vaccination",1,"Infection and vaccination"
"2154","CHIT1","Infection",9,"Infection and vaccination"
"2155","CIITA","Vaccination",1,"Infection and vaccination"
"2156","CIITA","Infection",2,"Infection and vaccination"
"2157","CLDN18","Vaccination",1,"Infection and vaccination"
"2158","CLDN18","Infection",4,"Infection and vaccination"
"2159","CLEC4A","Vaccination",1,"Infection and vaccination"
"2160","CLEC4A","Infection",4,"Infection and vaccination"
"2161","CLEC4D","Vaccination",1,"Infection and vaccination"
"2162","CLEC4D","Infection",9,"Infection and vaccination"
"2163","CLEC6A","Vaccination",7,"Infection and vaccination"
"2164","CLEC6A","Infection",2,"Infection and vaccination"
"2165","CLNK","Vaccination",2,"Infection and vaccination"
"2166","CLNK","Infection",6,"Infection and vaccination"
"2167","CLU","Vaccination",2,"Infection and vaccination"
"2168","CLU","Infection",2,"Infection and vaccination"
"2169","CR1L","Vaccination",2,"Infection and vaccination"
"2170","CR1L","Infection",8,"Infection and vaccination"
"2171","CRISP3","Vaccination",1,"Infection and vaccination"
"2172","CRISP3","Infection",10,"Infection and vaccination"
"2173","CSF1","Vaccination",3,"Infection and vaccination"
"2174","CSF1","Infection",1,"Infection and vaccination"
"2175","CTSG","Vaccination",1,"Infection and vaccination"
"2176","CTSG","Infection",4,"Infection and vaccination"
"2177","CTSL","Vaccination",4,"Infection and vaccination"
"2178","CTSL","Infection",2,"Infection and vaccination"
"2179","CTSW","Vaccination",1,"Infection and vaccination"
"2180","CTSW","Infection",5,"Infection and vaccination"
"2181","CX3CR1","Vaccination",2,"Infection and vaccination"
"2182","CX3CR1","Infection",4,"Infection and vaccination"
"2183","CXCL10","Vaccination",9,"Infection and vaccination"
"2184","CXCL10","Infection",3,"Infection and vaccination"
"2185","CXCL11","Vaccination",8,"Infection and vaccination"
"2186","CXCL11","Infection",3,"Infection and vaccination"
"2187","CXCL17","Vaccination",1,"Infection and vaccination"
"2188","CXCL17","Infection",1,"Infection and vaccination"
"2189","CXCL2","Vaccination",8,"Infection and vaccination"
"2190","CXCL2","Infection",8,"Infection and vaccination"
"2191","CXCL3","Vaccination",5,"Infection and vaccination"
"2192","CXCL3","Infection",6,"Infection and vaccination"
"2193","CXCL5","Vaccination",2,"Infection and vaccination"
"2194","CXCL5","Infection",2,"Infection and vaccination"
"2195","CXCL8","Vaccination",6,"Infection and vaccination"
"2196","CXCL8","Infection",3,"Infection and vaccination"
"2197","CXCR3","Vaccination",1,"Infection and vaccination"
"2198","CXCR3","Infection",5,"Infection and vaccination"
"2199","CXCR4","Vaccination",2,"Infection and vaccination"
"2200","CXCR4","Infection",3,"Infection and vaccination"
"2201","CYBA","Vaccination",1,"Infection and vaccination"
"2202","CYBA","Infection",1,"Infection and vaccination"
"2203","CYP26B1","Vaccination",2,"Infection and vaccination"
"2204","CYP26B1","Infection",7,"Infection and vaccination"
"2205","CYP7B1","Vaccination",1,"Infection and vaccination"
"2206","CYP7B1","Infection",2,"Infection and vaccination"
"2207","DCST1","Vaccination",2,"Infection and vaccination"
"2208","DCST1","Infection",4,"Infection and vaccination"
"2209","DDT","Vaccination",1,"Infection and vaccination"
"2210","DDT","Infection",1,"Infection and vaccination"
"2211","DDX60","Vaccination",7,"Infection and vaccination"
"2212","DDX60","Infection",3,"Infection and vaccination"
"2213","DEFA4","Vaccination",1,"Infection and vaccination"
"2214","DEFA4","Infection",9,"Infection and vaccination"
"2215","DHX58","Vaccination",6,"Infection and vaccination"
"2216","DHX58","Infection",2,"Infection and vaccination"
"2217","DTX3L","Vaccination",6,"Infection and vaccination"
"2218","DTX3L","Infection",3,"Infection and vaccination"
"2219","DUSP1","Vaccination",1,"Infection and vaccination"
"2220","DUSP1","Infection",7,"Infection and vaccination"
"2221","DUSP10","Vaccination",1,"Infection and vaccination"
"2222","DUSP10","Infection",2,"Infection and vaccination"
"2223","DYSF","Vaccination",1,"Infection and vaccination"
"2224","DYSF","Infection",6,"Infection and vaccination"
"2225","EBI3","Vaccination",1,"Infection and vaccination"
"2226","EBI3","Infection",1,"Infection and vaccination"
"2227","EDNRB","Vaccination",3,"Infection and vaccination"
"2228","EDNRB","Infection",4,"Infection and vaccination"
"2229","EGR3","Vaccination",4,"Infection and vaccination"
"2230","EGR3","Infection",5,"Infection and vaccination"
"2231","EIF2AK2","Vaccination",6,"Infection and vaccination"
"2232","EIF2AK2","Infection",6,"Infection and vaccination"
"2233","ELANE","Vaccination",1,"Infection and vaccination"
"2234","ELANE","Infection",4,"Infection and vaccination"
"2235","ENPP1","Vaccination",1,"Infection and vaccination"
"2236","ENPP1","Infection",1,"Infection and vaccination"
"2237","ENPP2","Vaccination",1,"Infection and vaccination"
"2238","ENPP2","Infection",2,"Infection and vaccination"
"2239","EPB42","Vaccination",3,"Infection and vaccination"
"2240","EPB42","Infection",3,"Infection and vaccination"
"2241","EPG5","Vaccination",1,"Infection and vaccination"
"2242","EPG5","Infection",3,"Infection and vaccination"
"2243","EPHB2","Vaccination",3,"Infection and vaccination"
"2244","EPHB2","Infection",4,"Infection and vaccination"
"2245","EPHB3","Vaccination",1,"Infection and vaccination"
"2246","EPHB3","Infection",2,"Infection and vaccination"
"2247","EPS8","Vaccination",1,"Infection and vaccination"
"2248","EPS8","Infection",2,"Infection and vaccination"
"2249","ERBB2","Vaccination",2,"Infection and vaccination"
"2250","ERBB2","Infection",2,"Infection and vaccination"
"2251","EREG","Vaccination",3,"Infection and vaccination"
"2252","EREG","Infection",10,"Infection and vaccination"
"2253","EVPL","Vaccination",1,"Infection and vaccination"
"2254","EVPL","Infection",1,"Infection and vaccination"
"2255","EXO1","Vaccination",2,"Infection and vaccination"
"2256","EXO1","Infection",5,"Infection and vaccination"
"2257","F2","Vaccination",1,"Infection and vaccination"
"2258","F2","Infection",1,"Infection and vaccination"
"2259","FANCA","Vaccination",3,"Infection and vaccination"
"2260","FANCA","Infection",1,"Infection and vaccination"
"2261","FAS","Vaccination",4,"Infection and vaccination"
"2262","FAS","Infection",4,"Infection and vaccination"
"2263","FASLG","Vaccination",2,"Infection and vaccination"
"2264","FASLG","Infection",5,"Infection and vaccination"
"2265","FAXDC2","Vaccination",2,"Infection and vaccination"
"2266","FAXDC2","Infection",3,"Infection and vaccination"
"2267","FCER1G","Vaccination",1,"Infection and vaccination"
"2268","FCER1G","Infection",7,"Infection and vaccination"
"2269","FCGR1A","Vaccination",8,"Infection and vaccination"
"2270","FCGR1A","Infection",6,"Infection and vaccination"
"2271","FCGR2B","Vaccination",1,"Infection and vaccination"
"2272","FCGR2B","Infection",1,"Infection and vaccination"
"2273","FCGR3B","Vaccination",1,"Infection and vaccination"
"2274","FCGR3B","Infection",1,"Infection and vaccination"
"2275","FCRL3","Vaccination",1,"Infection and vaccination"
"2276","FCRL3","Infection",8,"Infection and vaccination"
"2277","FFAR3","Vaccination",7,"Infection and vaccination"
"2278","FFAR3","Infection",3,"Infection and vaccination"
"2279","FLT3","Vaccination",1,"Infection and vaccination"
"2280","FLT3","Infection",8,"Infection and vaccination"
"2281","FN1","Vaccination",3,"Infection and vaccination"
"2282","FN1","Infection",3,"Infection and vaccination"
"2283","FOS","Vaccination",2,"Infection and vaccination"
"2284","FOS","Infection",2,"Infection and vaccination"
"2285","FOSL1","Vaccination",4,"Infection and vaccination"
"2286","FOSL1","Infection",3,"Infection and vaccination"
"2287","FPR1","Vaccination",1,"Infection and vaccination"
"2288","FPR1","Infection",3,"Infection and vaccination"
"2289","FPR3","Vaccination",2,"Infection and vaccination"
"2290","FPR3","Infection",3,"Infection and vaccination"
"2291","FTH1","Vaccination",1,"Infection and vaccination"
"2292","FTH1","Infection",7,"Infection and vaccination"
"2293","FUT4","Vaccination",1,"Infection and vaccination"
"2294","FUT4","Infection",9,"Infection and vaccination"
"2295","FZD5","Vaccination",1,"Infection and vaccination"
