"","condition","genes","base_mean","log2fold_change","lfc_se","stat","pvalue","padj","direction_wide","x1","vaccine","day","dose","infection","type","regimen","disease_vac","severity","gse_id","variant","prior_infection","previous_vaccination"
"6907","ChAd-BNT (V2, D3)","MXD3",87.3405213325667,1.41354176395561,0.31720581016761,4.45622910629759,8.34138872904997e-06,0.00017572647405755,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6908","ChAd-BNT (V2, D3)","CCL7",6.71238307692145,2.77648779291754,0.716346634964763,3.87589981916243,0.00010623138788727,0.00139757490740346,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6909","ChAd-BNT (V2, D3)","CCL1",1.3736987808355,2.15713445943832,0.765390162761261,2.81834620353119,0.00482717303725453,0.0266415627542478,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6910","ChAd-BNT (V2, D3)","MIR133A1HG",4.27034689497487,1.39863451340418,0.458225039856361,3.05228739538678,0.00227104546825448,0.0150106132630497,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6911","ChAd-BNT (V2, D3)","FBXO27",10.6092812655872,-1.06269855189632,0.372079929062273,-2.85610286632383,0.00428876159145024,0.0243620910956745,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6912","ChAd-BNT (V2, D3)","TUBB1",10421.6740135472,-1.26162341220848,0.284236264616176,-4.43864337266089,9.05276721169716e-06,0.0001890563784471,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6913","ChAd-BNT (V2, D3)","KLHDC7B",193.305310449946,1.60702276105208,0.214480093559323,7.49264295060369,6.75003463235388e-14,1.02228477258815e-11,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6914","ChAd-BNT (V2, D3)","TGM3",84.6263604845342,-2.70491068952339,0.740670132061429,-3.65197754362675,0.0002602286455025,0.00279934998187649,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6915","ChAd-BNT (V2, D3)","HIST2H2AC",8.16541460077929,1.92036447876154,0.42371680050812,4.53218866105532,5.83756771157892e-06,0.00013086221138054,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6916","ChAd-BNT (V2, D3)","SMG1P5",6.01263347844118,1.78550594521094,0.501387802820356,3.56112760455537,0.00036926555886382,0.00364460655757044,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6917","ChAd-BNT (V2, D3)","CXCL10",1609.21434193165,6.54026593450881,0.526702667164363,12.4173776634168,2.10343653483345e-35,2.02287491554933e-31,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6918","ChAd-BNT (V2, D3)","C8orf31",50.4749127905374,1.61766312930236,0.344071773410993,4.70152815287774,2.58221652810338e-06,6.5436564824164e-05,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6919","ChAd-BNT (V2, D3)","RGL1",430.218744389145,2.49341832026554,0.192909263432871,12.9253425983517,3.23850865953686e-38,6.2289475557532e-34,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
