"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue","log_q"
"89","BBIBP (V3, D28)","ChAd-BNT (V2, D7)",17,270,759,399,972,"CCL3, IL1A, MTRNR2L3, CCNB2, CD83, SNCA, CXCL8, HBB, G0S2, HBA1, CCL3L1, TRIM58, FFAR2, CXCL1, OR2W3, GK3P, CHRNA2",4.26,1.75,1.39289177199565e-231,5.91410711832406e-232,231.228110813649
"90","BBIBP (V3, D28)","ChAd-BNT (V3, D1)",23,264,1009,399,1388,"CCL3, CD247, HLA-DMB, PSMD6-AS2, CD83, BRSK2, BACH1-IT1, BLZF2P, AREG, DISC1-IT1, RNU5B-1, PRKCG, CCL3L1, ADAMTSL4-AS1, RIBC1, MTCO2P11, SIPA1L1, GPR68, MIR194-2HG, MYH7B, MIR181A1HG, FAR1-IT1, TXLNB",5.76,1.66,5.90070552857395e-250,2.73207075795423e-250,249.563508057044
"91","BBIBP (V3, D28)","ZF2001 (V3, D07)",11,276,437,399,552,"BABAM2, AREG, PLCG1-AS1, FKBPL, ARHGAP15, TACC1, ZNF433, SIPA1L1, ALKBH7, POLR2J4, CD44-AS1",2.76,1.99,7.57696345119816e-189,2.65007211411272e-189,188.576742307824
"92","BBIBP (V3, D28)","ZF2001 (V3, D14)",6,281,273,399,330,"NNAT, CD83, ALOX5, ARHGAP15, BAG5, SIPA1L1",1.5,1.82,5.81048958997294e-156,1.73834775961355e-156,155.759863337799
"93","BBIBP (V3, D28)","ZF2001 (V3, D28)",4,283,115,399,137,"CD83, AREG, LOC100133244, SIPA1L1",1,2.92,5.62291860270618e-97,1.3110916076898e-97,96.8823669625248
"94","BBIBP (V3, D28)","BNT-I-BNT (D51, mild)",2,285,361,399,363,"ZNF320, ZNF721",0.5,0.55,1.23126952557675e-187,4.2604365956839e-188,187.370545893531
"95","BBIBP (V3, D28)","BNT-I-BNT (D51, severe)",2,285,111,399,113,"IL16, ZNF721",0.5,1.77,6.94817653366323e-98,1.623995454103e-98,97.7894151907726
"96","BBIBP (V3, D28)","H-BNT-I (D1)",17,270,1084,399,1101,"C9orf131, PTGES, PSMD6-AS2, CD83, LOC727896, AREG, G0S2, HBA1, GK3P, MCM8, TSPAN4, SLC6A8, MIR181A1HG, ALKBH7, GDF15, HSP90AB4P, TCTEX1D4",4.26,1.54,1.54189825349668e-267,7.89058879253946e-268,267.102890588703
"97","BBIBP (V3, D28)","H-BNT-I (D10, mild)",34,253,4414,399,4448,"CYFIP2, ARPC3, CD247, CCNB2, ITK, LDLRAD4, PSMD6-AS2, ZNF320, NUDT9P1, ALOX5, CCL3L1, CAMK4, SLC25A37, FAM184A, ZNF721, FKBPL, ASTL, NBPF15, ZBED2, CTBP1-AS, PELI2, SNX9, PAX5, FAM49B, NPFF, MCM8, EXOC2, HDC, SH3PXD2A, SMTNL1, MIR181A1HG, BACH2, HSP90AB4P, CCDC17",8.52,0.76,0,0,0
"98","BBIBP (V3, D28)","H-BNT-I (D10, severe)",37,250,4598,399,4635,"CD247, CCNB2, ITK, LDLRAD4, ZNF320, CXCL8, NUDT9P1, ALOX5, BNIPL, DISC1-IT1, HBB, HBA1, CAMK4, SLC25A37, FAM184A, ZNF721, FKBPL, ASTL, ZBED2, PRX, ADAMTSL4-AS1, SRGAP2-AS1, SNX9, FAM49B, PPP1R1A, GK3P, NPFF, PLXDC2, HDC, SH3PXD2A, SMTNL1, CHRNA2, MIR181A1HG, BACH2, HSP90AB4P, TXLNB, CCDC17",9.27,0.8,0,0,0
"99","BBIBP (V3, D28)","H-BNT-I (D26, mild)",23,264,2570,399,2593,"TARS2, ARPC3, CD247, CCNB2, ITK, ZNF320, ALOX5, CAMK4, SLC25A37, ZNF721, GAS5-AS1, RRP1, SNX9, PAX5, FAM49B, GK3P, NPFF, MCM8, SH3PXD2A, ALKBH7, BACH2, NUDT10, HSP90AB4P",5.76,0.89,0,0,0
"100","BBIBP (V3, D28)","H-BNT-I (D26, severe)",5,282,588,399,593,"CCNB2, ZNF320, ZNF721, FAM49B, HSP90AB4P",1.25,0.84,7.40521123438772e-228,3.07700987236404e-228,227.511871110348
"101","BBIBP (V3, D28)","H-BNT-I (D3)",9,278,655,399,664,"C9orf131, LOC727896, AREG, PPP1R1A, GK3P, ALKBH7, GDF15, HSP90AB4P, TCTEX1D4",2.26,1.36,7.23730574288261e-231,3.05954172035461e-231,230.514343620324
"102","BBIBP (V3, D28)","H-BNT-I (D4)",4,283,146,399,150,"SNCA, HBB, OR2W3, SLC6A8",1,2.67,3.21559458164443e-112,7.89538655959748e-113,112.102626601996
"103","BBIBP (V3, D28)","H-I (D10, moderate)",24,263,3115,399,3139,"CD247, CCNB2, ITK, FAM71A, CXCL8, HBA1, PRKCG, CAMK4, FKBPL, ASTL, PRX, TAS2R30, HEMGN, FAM49B, PPP1R1A, GK3P, PLXDC2, HDC, SH3PXD2A, SMTNL1, CHRNA2, MIR181A1HG, HSP90AB4P, CCDC17",6.02,0.76,0,0,0
