genes,infection_vaccination,n_conditions,comparison
CACNA2D2,Infection,9,Infection only
CCDC71L,Infection,9,Infection only
CCNG2,Infection,9,Infection only
CCR9,Infection,9,Infection only
CD164L2,Infection,9,Infection only
CD59,Infection,9,Infection only
CDC42EP3,Infection,9,Infection only
CDCA8,Infection,9,Infection only
CDHR1,Infection,9,Infection only
CDHR2,Infection,9,Infection only
CDK5R1,Infection,9,Infection only
CDKN3,Infection,9,Infection only
CEACAM1,Infection,9,Infection only
CENPU,Infection,9,Infection only
CFAP58,Infection,9,Infection only
CHMP2B,Infection,9,Infection only
CLEC4D,Infection,9,Infection only
CNEP1R1,Infection,9,Infection only
CPEB3,Infection,9,Infection only
CST7,Infection,9,Infection only
CSTA,Infection,9,Infection only
CYB5R4,Infection,9,Infection only
CYP7A1,Infection,9,Infection only
DHRS3,Infection,9,Infection only
DISC1,Infection,9,Infection only
DMC1,Infection,9,Infection only
DMWD,Infection,9,Infection only
DNAH17,Infection,9,Infection only
DNAJB9,Infection,9,Infection only
DUSP1,Infection,9,Infection only
EAF1,Infection,9,Infection only
ECHDC3,Infection,9,Infection only
EEF2KMT,Infection,9,Infection only
EFCAB2,Infection,9,Infection only
EPHA4,Infection,9,Infection only
ERLIN1,Infection,9,Infection only
ETS2,Infection,9,Infection only
EXOC6,Infection,9,Infection only
FAAHP1,Infection,9,Infection only
FAHD2B,Infection,9,Infection only
FAM71F2,Infection,9,Infection only
FAM8A1,Infection,9,Infection only
FBXL14,Infection,9,Infection only
FBXO6,Infection,9,Infection only
FCGBP,Infection,9,Infection only
FKBP9,Infection,9,Infection only
FNDC8,Infection,9,Infection only
FNTB,Infection,9,Infection only
FST,Infection,9,Infection only
GATA2,Infection,9,Infection only
GCA,Infection,9,Infection only
GCNT4,Infection,9,Infection only
GCSAM,Infection,9,Infection only
GDPD5,Infection,9,Infection only
GINS2,Infection,9,Infection only
GK3P,Infection,9,Infection only
GLDN,Infection,9,Infection only
GNG5,Infection,9,Infection only
GRINA,Infection,9,Infection only
GSG1L,Infection,9,Infection only
GSTT1,Infection,9,Infection only
GYG1,Infection,9,Infection only
HCG27,Infection,9,Infection only
HEBP2,Infection,9,Infection only
HES4,Infection,9,Infection only
HIST1H1E,Infection,9,Infection only
HKDC1,Infection,9,Infection only
HLA-DOA,Infection,9,Infection only
HMGN2,Infection,9,Infection only
HRK,Infection,9,Infection only
IDI1,Infection,9,Infection only
IFIT3,Infection,9,Infection only
IGFBP3,Infection,9,Infection only
IL18R1,Infection,9,Infection only
INHBB,Infection,9,Infection only
INSL3,Infection,9,Infection only
IRAK3,Infection,9,Infection only
IRS2,Infection,9,Infection only
ITIH3,Infection,9,Infection only
KCNJ15,Infection,9,Infection only
KEL,Infection,9,Infection only
KIAA0226L,Infection,9,Infection only
KIF15,Infection,9,Infection only
KLF3-AS1,Infection,9,Infection only
KLHDC4,Infection,9,Infection only
LIN7A,Infection,9,Infection only
LINC00428,Infection,9,Infection only
LINC00482,Infection,9,Infection only
LINC00639,Infection,9,Infection only
LINC00920,Infection,9,Infection only
LINC00937,Infection,9,Infection only
LINC01422,Infection,9,Infection only
LINC01550,Infection,9,Infection only
LIPM,Infection,9,Infection only
LLGL2,Infection,9,Infection only
LMNB1,Infection,9,Infection only
LOC101928370,Infection,9,Infection only
LOC101928674,Infection,9,Infection only
LOC101929095,Infection,9,Infection only
LOC105747689,Infection,9,Infection only
LOC283575,Infection,9,Infection only
LOC285696,Infection,9,Infection only
LOC643339,Infection,9,Infection only
LOC728175,Infection,9,Infection only
LONRF1,Infection,9,Infection only
LRFN3,Infection,9,Infection only
LRP5,Infection,9,Infection only
LRRC6,Infection,9,Infection only
LRRN1,Infection,9,Infection only
LSMEM1,Infection,9,Infection only
LYNX1,Infection,9,Infection only
LYRM1,Infection,9,Infection only
MAGEH1,Infection,9,Infection only
MAPK14,Infection,9,Infection only
MARC1,Infection,9,Infection only
MBOAT2,Infection,9,Infection only
MCEMP1,Infection,9,Infection only
MED14OS,Infection,9,Infection only
METTL7B,Infection,9,Infection only
MIR146A,Infection,9,Infection only
MIR29C,Infection,9,Infection only
MIR3945,Infection,9,Infection only
MIR4458HG,Infection,9,Infection only
MRM1,Infection,9,Infection only
MYO10,Infection,9,Infection only
NAP1L2,Infection,9,Infection only
NDUFA6-AS1,Infection,9,Infection only
NEDD8,Infection,9,Infection only
NEIL3,Infection,9,Infection only
NFIL3,Infection,9,Infection only
NMNAT2,Infection,9,Infection only
NNT-AS1,Infection,9,Infection only
NR1I3,Infection,9,Infection only
NRADDP,Infection,9,Infection only
NSG1,Infection,9,Infection only
NTSR1,Infection,9,Infection only
OLFM4,Infection,9,Infection only
OMG,Infection,9,Infection only
PATL1,Infection,9,Infection only
PCBP4,Infection,9,Infection only
PCDH9,Infection,9,Infection only
PCDHGB3,Infection,9,Infection only
PELI1,Infection,9,Infection only
PKD1,Infection,9,Infection only
PLBD1,Infection,9,Infection only
PLIN3,Infection,9,Infection only
PLK2,Infection,9,Infection only
PLP2,Infection,9,Infection only
PLXNA3,Infection,9,Infection only
POLQ,Infection,9,Infection only
POU5F1,Infection,9,Infection only
PPFIA3,Infection,9,Infection only
PRR12,Infection,9,Infection only
PSTPIP2,Infection,9,Infection only
PTEN,Infection,9,Infection only
PTPRK,Infection,9,Infection only
PTTG2,Infection,9,Infection only
PXT1,Infection,9,Infection only
QPCT,Infection,9,Infection only
RAB13,Infection,9,Infection only
RAB3IL1,Infection,9,Infection only
RAD23B,Infection,9,Infection only
RALB,Infection,9,Infection only
RASSF1-AS1,Infection,9,Infection only
RIMBP3,Infection,9,Infection only
RNF10,Infection,9,Infection only
RPL34-AS1,Infection,9,Infection only
S100A11,Infection,9,Infection only
SALL2,Infection,9,Infection only
SAMD15,Infection,9,Infection only
SAP30,Infection,9,Infection only
SCARNA17,Infection,9,Infection only
SCD,Infection,9,Infection only
SCN3A,Infection,9,Infection only
SCRG1,Infection,9,Infection only
SEC61G,Infection,9,Infection only
SERPINB1,Infection,9,Infection only
SERPING1,Infection,9,Infection only
SERPINH1,Infection,9,Infection only
SEZ6L,Infection,9,Infection only
SHROOM4,Infection,9,Infection only
SLC22A23,Infection,9,Infection only
SLC37A3,Infection,9,Infection only
SLC4A3,Infection,9,Infection only
SLC4A9,Infection,9,Infection only
SLC51A,Infection,9,Infection only
SMARCD3,Infection,9,Infection only
SMIM10,Infection,9,Infection only
SMIM10L2A,Infection,9,Infection only
SNORD12C,Infection,9,Infection only
SNORD36A,Infection,9,Infection only
SNX10,Infection,9,Infection only
SNX3,Infection,9,Infection only
SORT1,Infection,9,Infection only
ST20,Infection,9,Infection only
ST3GAL6,Infection,9,Infection only
STK17B,Infection,9,Infection only
STRC,Infection,9,Infection only
SULT2B1,Infection,9,Infection only
SYT17,Infection,9,Infection only
TEF,Infection,9,Infection only
