genes,condition,log2fold_change,direction,meta_p,fdr,bioprocess
MPI,"I (D51, severe)",1.0489359451366427,UP,7.501411331370951e-6,8.956543415337054e-4,Other
MPLKIP,BNT-I (D1),-0.9378356766527564,NEUTRAL,1.5018474537776787e-4,0.008502734696791692,Other
MPLKIP,"ChAd (V1, D3)",0.27770551466510757,NEUTRAL,5.360717088852152e-4,0.021189427848943905,Other
MPP1,"BBIBP (V3, D28)",0.6761199790639506,NEUTRAL,0.00167560274120018,0.04664669602147577,Other
MPP1,"BNT-I (D26, severe)",-1.1235337434793582,DOWN,6.243201257426978e-4,0.023603442430435148,Other
MPP1,"ChAd (V1, D3)",0.31322368865094774,NEUTRAL,2.8500037695631266e-5,0.002485157674415935,Other
MPP1,"ChAd-BNT (V2, D7)",-0.5879954695935921,NEUTRAL,8.792902443413463e-8,2.532924997662496e-5,Other
MPP1,"I (D26, moderate)",-1.1608571134819476,DOWN,3.653848499005633e-5,0.0029940192460391,Other
MPP1,"I (D26, severe)",-1.4427897488658314,DOWN,1.1223892108737515e-5,0.0012220610337449693,Other
MPP2,"ChAd-BNT (V2, D3)",-0.5487371265639195,NEUTRAL,8.589238945619245e-4,0.02951458514068978,Other
MPP4,"ZF2001 (V3, D07)",1.187180399832808,UP,2.608104983910115e-4,0.012699873105713962,Other
MPP5,"BNT-I-BNT (D51, severe)",-1.5245934246828519,DOWN,0.0017557251296536,0.048132335477266,Other
MPP5,"ChAd (V1, D3)",-0.18984297378305,NEUTRAL,9.589425862417522e-5,0.006117750400750284,Other
MPP6,"ChAd (V1, D3)",-0.20186049424182692,NEUTRAL,0.0014419994484692,0.04215113958859212,Other
MPP6,"I (D26, moderate)",1.246393347036063,UP,0.001004423528851629,0.032941762895089266,Other
MPPE1,"BBIBP (V3, D14)",-0.25168879217317613,NEUTRAL,0.00140984418009171,0.04154425865518845,Other
MPRIP,"ChAd (V1, D3)",-0.27588081152433713,NEUTRAL,8.627705594304835e-6,9.989308848581417e-4,Other
MPRIP,"ZF2001 (V3, D07)",-0.3049332601392374,NEUTRAL,0.00111981774863834,0.0355422257819769,Other
MPV17,"ChAd (V1, D3)",0.2372980834774947,NEUTRAL,7.893514191653781e-10,4.721272692420068e-7,Other
MPV17,"ChAd-BNT (V2, D3)",0.23866058303665968,NEUTRAL,7.439109370035971e-7,1.4760217463563984e-4,Other
MPV17,"ChAd-BNT (V2, D7)",0.21460511639972535,NEUTRAL,1.4608992325021084e-4,0.008336616109617369,Other
MPV17,"I (D10, moderate)",-0.6233479762821268,NEUTRAL,7.75087926559681e-9,3.3173798249437263e-6,Other
MPV17,"I (D10, severe)",-0.4053642336738405,NEUTRAL,8.039600760229188e-4,0.02817117114142759,Other
MPV17L,"ZF2001 (V3, D14)",1.0146888051486476,UP,8.059119368875491e-5,0.0053820227852242695,Other
MPV17L2,"ChAd (V1, D3)",0.24518351859312928,NEUTRAL,3.4172766719838124e-4,0.015403888030501085,Other
MPZL2,BNT-I (D1),-1.0360441713467126,DOWN,0.00151755638884473,0.043606188093076086,Other
MPZL3,"ChAd (V1, D3)",-0.29746701398863074,NEUTRAL,0.00172068345168364,0.04747094393820609,Other
MPZL3,"ChAd (V1, D7)",0.3957401168349214,NEUTRAL,2.649127204583502e-5,0.002345813769490432,Other
MPZL3,"ChAd-BNT (V2, D3)",-0.8154035935232762,NEUTRAL,6.909669117030242e-12,8.027587531857998e-9,Other
MPZL3,"ChAd-BNT (V2, D7)",-0.6750920911877721,NEUTRAL,1.2589620041759897e-6,2.2485350756611263e-4,Other
MR1,"ChAd (V1, D3)",0.1957128220610851,NEUTRAL,2.0190332481452477e-5,0.0019181139582522353,Other
MR1,"ChAd-BNT (V2, D3)",0.2119255165818856,NEUTRAL,2.2493201889728495e-4,0.011444840998659455,Other
MRAS,"ChAd (V1, D3)",0.3794139299086924,NEUTRAL,1.7236944079836687e-4,0.009401245929159727,Other
MRAS,"ChAd (V1, D7)",-0.4404700026495541,NEUTRAL,1.2047196521532154e-5,0.00128977925392879,Other
MRAS,"I (D10, severe)",-4.877788676149965,DOWN,6.186581007177101e-10,3.848430914045304e-7,Other
MRE11A,"ChAd-BNT (V2, D3)",0.32528836585710647,NEUTRAL,5.6027704190899535e-6,7.185530323966555e-4,Other
MRE11A,"ChAd-BNT (V2, D7)",0.2805719561401404,NEUTRAL,8.327847160210864e-4,0.02886328370807686,Other
MREG,"I (D10, severe)",1.0562405537558728,UP,4.2748195664925293e-4,0.01805036503673946,Other
MRFAP1,"ChAd-BNT (V2, D3)",-0.35377814743121744,NEUTRAL,1.3049533536991035e-9,7.298661848537921e-7,Other
MRFAP1,"ChAd-BNT (V2, D7)",-0.3763757392854208,NEUTRAL,3.6659946244422304e-8,1.228939140685413e-5,Other
MRFAP1,"ZF2001 (V3, D07)",-0.5393002117705058,NEUTRAL,3.63762854645657e-5,0.0029835739406469186,Other
MRFAP1L1,"BNT-I-BNT (D51, severe)",1.4603841629740792,UP,0.0011073301404458035,0.03525333244625583,Other
MRFAP1L1,"ChAd (V1, D7)",0.17599958889191775,NEUTRAL,6.33063648756649e-4,0.023826091021673785,Other
MRFAP1L1,"ChAd (V2, D3)",-0.4336364329300949,NEUTRAL,2.0441064907030348e-4,0.010676303671548574,Other
MRFAP1L1,"ChAd-BNT (V2, D3)",-0.3891277534627946,NEUTRAL,2.0890916208404987e-9,1.0863975466159245e-6,Other
MRFAP1L1,"I (D26, moderate)",1.0279505835066889,UP,3.270557822163222e-4,0.014937406644144145,Other
MRGPRE,"BNT-I (D10, severe)",5.845803541943293,UP,0.001765840588628458,0.048321612997117513,Other
MRGPRE,"I (D10, moderate)",6.304866299338185,UP,7.45500565084747e-4,0.026736407324362825,Other
MRGPRX2,"ChAd (V1, D7)",-0.8455836204856159,NEUTRAL,1.351224197323162e-4,0.007873802414226451,Other
MRI1,"ChAd (V1, D3)",-0.2603584089618386,NEUTRAL,1.6673040288033517e-7,4.330518445726527e-5,Other
