genes,cos2,dimension
C1QBP,0.5250884099185236,PC2
CA4,0.7635533985302043,PC2
CALCRL,0.5325788544024778,PC2
CALR,0.5380738435698595,PC2
CAMK4,0.572713133422414,PC2
CARD9,0.5745502278383028,PC2
CASP6,0.6798122539761887,PC2
CBFA2T3,0.5832088649996038,PC2
CBL,0.7525311303604518,PC2
CCL1,0.6210339829225071,PC2
CCL18,0.683284305684859,PC2
CCL19,0.5855394733740787,PC2
CCR6,0.5433459425875592,PC2
CD1D,0.6210339829225074,PC2
CD300LD,0.5930956312729467,PC2
CD40LG,0.6210339829225068,PC2
CD44,0.6858551176691058,PC2
CD70,0.7219114041730352,PC2
CD72,0.6210339829225072,PC2
CD99,0.6378059343643449,PC2
CHRNA7,0.6766154823072976,PC2
CKAP2,0.5064569619180732,PC2
CLC,0.657255595169771,PC2
CLDN23,0.5875537309285369,PC2
CLDND1,0.624017442798044,PC2
CMTM2,0.6178881357062272,PC2
CNIH1,0.6172230460691105,PC2
CNR1,0.5939142099397604,PC2
CNTNAP3,0.8358786596027228,PC2
CRTC3,0.6546715862849389,PC2
CSF2,0.8015124986118553,PC2
CST7,0.5760771863372112,PC2
CTPS1,0.5523782157214793,PC2
CTSK,0.621033982922508,PC2
CXCL1,0.5646063688367107,PC2
CXCL6,0.7499857666362512,PC2
CXCR1,0.6464840239578683,PC2
CXCR2,0.7069583202362856,PC2
CYP4F3,0.6541278035638025,PC2
DENND3,0.5620021075046308,PC2
DHCR24,0.5110636798659013,PC2
DPP4,0.6210339829225072,PC2
E2F5,0.5091456612256071,PC2
EBF1,0.6070329893604399,PC2
EDN3,0.6210339829225077,PC2
EIF2B2,0.6613207227127378,PC2
EPX,0.6077952313532553,PC2
F12,0.6210339829225077,PC2
F5,0.6766891412576173,PC2
FASLG,0.7733910981516334,PC2
FCAR,0.614727911652934,PC2
FCER1A,0.5366036831730728,PC2
FCGR3B,0.7258150743133001,PC2
FGFBP2,0.5377305970888719,PC2
FRK,0.748552969387031,PC2
GAS2L3,0.5307041584239274,PC2
GBP7,0.5913142021101074,PC2
GJB2,0.7646038391805754,PC2
GLI3,0.6094186009953652,PC2
GTPBP1,0.6076395359203658,PC2
GYPA,0.7648308436573388,PC2
HAVCR2,0.5273493785563382,PC2
HEXIM1,0.5010850101906066,PC2
HLA-DOA,0.6024765573922763,PC2
HLA-DQB1,0.6210339829225072,PC2
HLA-E,0.6407943902192057,PC2
HLA-F,0.6210339829225069,PC2
HOXB4,0.6210339829225069,PC2
HRH4,0.5424468682473197,PC2
IER3,0.5442428720440178,PC2
IFITM2,0.6089876269639398,PC2
IKZF1,0.5485195215412554,PC2
IL1R2,0.6516321320967028,PC2
IL5RA,0.5109139792396982,PC2
IRAK3,0.5440109177781182,PC2
IRF8,0.563335689402856,PC2
ITGA6,0.6210339829225072,PC2
ITGAX,0.6210339829225072,PC2
JAK1,0.6017938426797786,PC2
KCNH1,0.6210339829225071,PC2
KCNJ15,0.7198669229802708,PC2
KIR2DL1,0.6290416706251749,PC2
KIR2DL4,0.6210339829225072,PC2
