genes,infection_vaccination,n_conditions,comparison
LGALS3,Infection,3,Infection only
LIF,Infection,3,Infection only
LILRA2,Infection,3,Infection only
LILRB4,Infection,3,Infection only
LMO4,Infection,3,Infection only
LRP1,Infection,3,Infection only
LTB,Infection,3,Infection only
LTBR,Infection,3,Infection only
MS4A2,Infection,3,Infection only
NAGLU,Infection,3,Infection only
NCF1,Infection,3,Infection only
NF1,Infection,3,Infection only
NFKBID,Infection,3,Infection only
NLRC5,Infection,3,Infection only
NLRP6,Infection,3,Infection only
NRROS,Infection,3,Infection only
PECAM1,Infection,3,Infection only
PELI3,Infection,3,Infection only
PLCG1,Infection,3,Infection only
PLEKHM2,Infection,3,Infection only
POU2F2,Infection,3,Infection only
PPP2R1A,Infection,3,Infection only
PRDX2,Infection,3,Infection only
PRTN3,Infection,3,Infection only
PSMB9,Infection,3,Infection only
PSME1,Infection,3,Infection only
PTX3,Infection,3,Infection only
RAB3B,Infection,3,Infection only
RAPGEF3,Infection,3,Infection only
RPL13A,Infection,3,Infection only
RPL30,Infection,3,Infection only
SFPQ,Infection,3,Infection only
SFTPD,Infection,3,Infection only
SIRT2,Infection,3,Infection only
SKAP1,Infection,3,Infection only
SLC15A3,Infection,3,Infection only
SP2,Infection,3,Infection only
SPI1,Infection,3,Infection only
SRF,Infection,3,Infection only
STXBP3,Infection,3,Infection only
TAP2,Infection,3,Infection only
TCF7,Infection,3,Infection only
TFEB,Infection,3,Infection only
TMEM33,Infection,3,Infection only
TNFAIP8L2,Infection,3,Infection only
TNFRSF17,Infection,3,Infection only
TNIP2,Infection,3,Infection only
TOR2A,Infection,3,Infection only
TRPV1,Infection,3,Infection only
TTLL1,Infection,3,Infection only
TXK,Infection,3,Infection only
TXLNA,Infection,3,Infection only
VAV1,Infection,3,Infection only
XRCC5,Infection,3,Infection only
ADA,Infection,2,Infection only
ADAM8,Infection,2,Infection only
AIF1,Infection,2,Infection only
AIMP1,Infection,2,Infection only
AKT1,Infection,2,Infection only
ARHGEF5,Infection,2,Infection only
B4GALT1,Infection,2,Infection only
BMPR1A,Infection,2,Infection only
BSG,Infection,2,Infection only
C5AR1,Infection,2,Infection only
CALR,Infection,2,Infection only
CCL1,Infection,2,Infection only
CCL20,Infection,2,Infection only
CCL23,Infection,2,Infection only
CCL3,Infection,2,Infection only
CCL4,Infection,2,Infection only
CD1D,Infection,2,Infection only
CD276,Infection,2,Infection only
CHRNA7,Infection,2,Infection only
CLEC6A,Infection,2,Infection only
CRKL,Infection,2,Infection only
CRTC3,Infection,2,Infection only
CSF1,Infection,2,Infection only
CTSS,Infection,2,Infection only
CXCL2,Infection,2,Infection only
CXCR2,Infection,2,Infection only
DENND1B,Infection,2,Infection only
DPP8,Infection,2,Infection only
DTX1,Infection,2,Infection only
EDN3,Infection,2,Infection only
EP300,Infection,2,Infection only
EPHB3,Infection,2,Infection only
F2RL1,Infection,2,Infection only
FAM3A,Infection,2,Infection only
FCGR2C,Infection,2,Infection only
FOSL2,Infection,2,Infection only
FRK,Infection,2,Infection only
GBP7,Infection,2,Infection only
GLI3,Infection,2,Infection only
GNL1,Infection,2,Infection only
GPR65,Infection,2,Infection only
GZMA,Infection,2,Infection only
HK1,Infection,2,Infection only
HLA-DOB,Infection,2,Infection only
HMSD,Infection,2,Infection only
HPRT1,Infection,2,Infection only
HYAL2,Infection,2,Infection only
IFNAR1,Infection,2,Infection only
IFNAR2,Infection,2,Infection only
IFNL1,Infection,2,Infection only
IGSF6,Infection,2,Infection only
IL11,Infection,2,Infection only
IL12B,Infection,2,Infection only
IL1RL1,Infection,2,Infection only
IL23R,Infection,2,Infection only
IL2RG,Infection,2,Infection only
IL6R,Infection,2,Infection only
IL6ST,Infection,2,Infection only
IRF1,Infection,2,Infection only
IRF2BP2,Infection,2,Infection only
IRF8,Infection,2,Infection only
JAGN1,Infection,2,Infection only
JAK1,Infection,2,Infection only
KHDRBS1,Infection,2,Infection only
KLRC2,Infection,2,Infection only
KLRF2,Infection,2,Infection only
KLRK1,Infection,2,Infection only
LAIR1,Infection,2,Infection only
LGALS4,Infection,2,Infection only
LRRC17,Infection,2,Infection only
LSM14A,Infection,2,Infection only
LY86,Infection,2,Infection only
LYL1,Infection,2,Infection only
MAP2K2,Infection,2,Infection only
MAPK3,Infection,2,Infection only
MAPT,Infection,2,Infection only
MCOLN2,Infection,2,Infection only
MERTK,Infection,2,Infection only
MLH1,Infection,2,Infection only
MPL,Infection,2,Infection only
MT1G,Infection,2,Infection only
MYSM1,Infection,2,Infection only
NDST2,Infection,2,Infection only
NFAM1,Infection,2,Infection only
NKAP,Infection,2,Infection only
NLRP12,Infection,2,Infection only
NLRX1,Infection,2,Infection only
NOTCH2,Infection,2,Infection only
OTUD4,Infection,2,Infection only
PDE4D,Infection,2,Infection only
PDIA3,Infection,2,Infection only
PI3,Infection,2,Infection only
PKHD1L1,Infection,2,Infection only
PKNOX1,Infection,2,Infection only
PLD3,Infection,2,Infection only
PMS2,Infection,2,Infection only
PPIB,Infection,2,Infection only
PRKDC,Infection,2,Infection only
PTAFR,Infection,2,Infection only
PTGER4,Infection,2,Infection only
PTPN11,Infection,2,Infection only
PTPRC,Infection,2,Infection only
RAB11FIP2,Infection,2,Infection only
RAB43,Infection,2,Infection only
RAB5B,Infection,2,Infection only
RELA,Infection,2,Infection only
RGS1,Infection,2,Infection only
RPL39,Infection,2,Infection only
SCAP,Infection,2,Infection only
SCG2,Infection,2,Infection only
SCIMP,Infection,2,Infection only
SERPINB9,Infection,2,Infection only
SLFN11,Infection,2,Infection only
SNCA,Infection,2,Infection only
TGFBR1,Infection,2,Infection only
THEMIS2,Infection,2,Infection only
TIRAP,Infection,2,Infection only
TNFSF9,Infection,2,Infection only
TPD52,Infection,2,Infection only
TREML4,Infection,2,Infection only
TRIM26,Infection,2,Infection only
TRIM40,Infection,2,Infection only
TRIM58,Infection,2,Infection only
TRIM59,Infection,2,Infection only
UBE2N,Infection,2,Infection only
USP14,Infection,2,Infection only
USP27X,Infection,2,Infection only
VCAM1,Infection,2,Infection only
WDFY4,Infection,2,Infection only
WFDC13,Infection,2,Infection only
WFDC3,Infection,2,Infection only
WNT4,Infection,2,Infection only
XCR1,Infection,2,Infection only
YY1,Infection,2,Infection only
ZFP36L1,Infection,2,Infection only
ACTG1,Infection,1,Infection only
ACTR2,Infection,1,Infection only
ADGRE5,Infection,1,Infection only
APOBEC3H,Infection,1,Infection only
BAG6,Infection,1,Infection only
BANK1,Infection,1,Infection only
BMP6,Infection,1,Infection only
BRAF,Infection,1,Infection only
BTLA,Infection,1,Infection only
BTNL8,Infection,1,Infection only
C17orf99,Infection,1,Infection only
C1QBP,Infection,1,Infection only
C1S,Infection,1,Infection only
CALM1,Infection,1,Infection only
CASP3,Infection,1,Infection only
CCL3L1,Infection,1,Infection only
CCL8,Infection,1,Infection only
CCR10,Infection,1,Infection only
CD14,Infection,1,Infection only
CD22,Infection,1,Infection only
CD40,Infection,1,Infection only
CD47,Infection,1,Infection only
