genes,infection_vaccination,n_conditions,comparison
ZMYND11,Infection,6,Infection only
ACE,Infection,5,Infection only
ACKR3,Infection,5,Infection only
ACTR3,Infection,5,Infection only
ADAR,Infection,5,Infection only
ADD2,Infection,5,Infection only
ADGRG3,Infection,5,Infection only
ADORA1,Infection,5,Infection only
AFF3,Infection,5,Infection only
AGTRAP,Infection,5,Infection only
APBB1,Infection,5,Infection only
ARHGDIB,Infection,5,Infection only
ARHGEF10L,Infection,5,Infection only
ARL4C,Infection,5,Infection only
ARRB2,Infection,5,Infection only
ATP1B1,Infection,5,Infection only
ATP1B2,Infection,5,Infection only
ATP8B2,Infection,5,Infection only
B2M,Infection,5,Infection only
BARD1,Infection,5,Infection only
BASP1,Infection,5,Infection only
BCL11B,Infection,5,Infection only
BCL2A1,Infection,5,Infection only
BIRC2,Infection,5,Infection only
BTK,Infection,5,Infection only
BTN3A2,Infection,5,Infection only
C1QB,Infection,5,Infection only
C2,Infection,5,Infection only
C3AR1,Infection,5,Infection only
CARD11,Infection,5,Infection only
CARD9,Infection,5,Infection only
CASP4,Infection,5,Infection only
CCL5,Infection,5,Infection only
CCR9,Infection,5,Infection only
CD163,Infection,5,Infection only
CD1C,Infection,5,Infection only
CD300LB,Infection,5,Infection only
CD3D,Infection,5,Infection only
CD3E,Infection,5,Infection only
CD4,Infection,5,Infection only
CD58,Infection,5,Infection only
CD6,Infection,5,Infection only
CD81,Infection,5,Infection only
CEBPB,Infection,5,Infection only
CFB,Infection,5,Infection only
CHST15,Infection,5,Infection only
CLDND1,Infection,5,Infection only
CLEC10A,Infection,5,Infection only
CLEC12A,Infection,5,Infection only
CLEC7A,Infection,5,Infection only
CLNK,Infection,5,Infection only
CLU,Infection,5,Infection only
CR1,Infection,5,Infection only
CR2,Infection,5,Infection only
CRK,Infection,5,Infection only
CST3,Infection,5,Infection only
CTLA4,Infection,5,Infection only
CTNNB1,Infection,5,Infection only
CTSG,Infection,5,Infection only
CXCR3,Infection,5,Infection only
DCAF15,Infection,5,Infection only
DDX60,Infection,5,Infection only
DEFB1,Infection,5,Infection only
DENND1B,Infection,5,Infection only
DENND2D,Infection,5,Infection only
DHCR24,Infection,5,Infection only
DHX58,Infection,5,Infection only
DHX9,Infection,5,Infection only
DNASE1,Infection,5,Infection only
DOCK2,Infection,5,Infection only
DUSP1,Infection,5,Infection only
EBF1,Infection,5,Infection only
EDN1,Infection,5,Infection only
EDNRB,Infection,5,Infection only
ELANE,Infection,5,Infection only
ENPP5,Infection,5,Infection only
ENTPD1,Infection,5,Infection only
EVI2B,Infection,5,Infection only
EVI5,Infection,5,Infection only
F2R,Infection,5,Infection only
FBXO38,Infection,5,Infection only
FCER1G,Infection,5,Infection only
FCGR3B,Infection,5,Infection only
FCRL3,Infection,5,Infection only
FGD4,Infection,5,Infection only
FGR,Infection,5,Infection only
FUT4,Infection,5,Infection only
FUT7,Infection,5,Infection only
GATA3,Infection,5,Infection only
GBP1,Infection,5,Infection only
GBP2,Infection,5,Infection only
GCH1,Infection,5,Infection only
GPR89B,Infection,5,Infection only
GYPE,Infection,5,Infection only
GZMH,Infection,5,Infection only
HAL,Infection,5,Infection only
HERC5,Infection,5,Infection only
HESX1,Infection,5,Infection only
HHEX,Infection,5,Infection only
HLA-C,Infection,5,Infection only
HLA-DPA1,Infection,5,Infection only
HLA-E,Infection,5,Infection only
HMGB2,Infection,5,Infection only
HOXB4,Infection,5,Infection only
HRH4,Infection,5,Infection only
ICAM1,Infection,5,Infection only
IFI6,Infection,5,Infection only
IFIT1,Infection,5,Infection only
IFIT3,Infection,5,Infection only
IL12RB1,Infection,5,Infection only
IL18R1,Infection,5,Infection only
IL18RAP,Infection,5,Infection only
IL20RB,Infection,5,Infection only
IL21R,Infection,5,Infection only
IL5RA,Infection,5,Infection only
IRAK3,Infection,5,Infection only
ISG15,Infection,5,Infection only
ITGB8,Infection,5,Infection only
ITPR3,Infection,5,Infection only
JAK3,Infection,5,Infection only
KCNJ16,Infection,5,Infection only
KCNJ2,Infection,5,Infection only
KLRD1,Infection,5,Infection only
LCK,Infection,5,Infection only
LGALS3,Infection,5,Infection only
LIME1,Infection,5,Infection only
LRRC25,Infection,5,Infection only
LST1,Infection,5,Infection only
MAP3K8,Infection,5,Infection only
MAPK1,Infection,5,Infection only
MAPK14,Infection,5,Infection only
MAPKAPK2,Infection,5,Infection only
MAVS,Infection,5,Infection only
MDK,Infection,5,Infection only
MFSD1,Infection,5,Infection only
MGST1,Infection,5,Infection only
MNDA,Infection,5,Infection only
MPEG1,Infection,5,Infection only
MS4A3,Infection,5,Infection only
MX1,Infection,5,Infection only
MXD1,Infection,5,Infection only
MYBL1,Infection,5,Infection only
MYH10,Infection,5,Infection only
MYO1C,Infection,5,Infection only
NAV1,Infection,5,Infection only
NCAPH2,Infection,5,Infection only
NCK1,Infection,5,Infection only
NCR1,Infection,5,Infection only
NKG7,Infection,5,Infection only
NLRP6,Infection,5,Infection only
NOS2,Infection,5,Infection only
NR4A3,Infection,5,Infection only
NRP2,Infection,5,Infection only
