"","BBIBP (V3 D14)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I-BNT (D51 mild)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 severe)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"vaccine","BBIBP","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","MO","ChAd","ChAd","ChAd","BNT","BNT","I","I","I","I","I","ZF2001","ZF2001","ZF2001"
"Monocytes","0.9559937",NA,"0.8303202",NA,NA,NA,"1.5880851",NA,NA,"1.3813321",NA,NA,NA,"1.0745412","1.0026434",NA,NA,NA,"2.0565304","1.7337156","1.5025986","1.1293659","0.7233831","0.9468923"
"NK cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.067799",NA,NA,"1.164331",NA,NA
"Neutrophil","0.9559937",NA,"0.8458672","1.5339128",NA,"1.2589174","2.4946129",NA,"1.1288728","1.6122001","1.3973345","1.1105840",NA,NA,NA,"0.9765196",NA,"0.6697395","4.0531415","1.7062604","1.6564088",NA,"0.8150919","2.4220890"
"Opsonization",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6579939",NA,"0.7233831",NA
"PRR NOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.16675",NA,NA
"PRR NOD1",NA,NA,NA,NA,NA,NA,NA,"0.8236412","0.8774738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6362166","0.6579939","1.1643310","0.8150919","0.7711531"
"PRR NOD2",NA,NA,NA,NA,NA,NA,NA,"0.8236412","0.8774738",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6362166",NA,"0.7620732","0.8150919","0.7711531"
"PRR TLR MyD88 indep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9915024",NA,NA
"PRR TLR Pathway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.335168",NA,NA
"PRR TLR TRIF dep Pathway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9915024",NA,NA
