"","BBIBP (V3 D14)","BBIBP (V3 D28)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I (D3)","BNT-I (D4)","BNT-I-BNT (D51 mild)","BNT-I-BNT (D51 severe)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D6)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd (V2 D3)","ChAd (V2 D7)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","ChAd-BNT (V3 D1)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 moderate)","I (D51 severe)","I-I (D1)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"BTNL9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.49747017222296",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.24266108793476",NA,NA,NA,NA,NA,NA,NA,NA
"C1R",NA,NA,NA,NA,NA,"1.26735759683564","1.90014509706467","1.20295193293771","1.88488097435375",NA,"1.18713459913893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1562538042048","1.58341371478304","1.04838406785519",NA,NA,"1.37630462076411",NA,NA,NA,NA
"C4B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.38058131742857",NA,NA
"C4BPB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.31140345257775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.72668260149314",NA,NA
"C5AR1",NA,NA,NA,NA,NA,"1.16506516070052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CACNB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.51506342213143",NA,NA,NA,NA,NA,NA
"CACNB4",NA,NA,NA,NA,NA,NA,"-2.56998294536691",NA,NA,NA,NA,NA,NA,NA,NA,"-1.51511947731317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.92702975541314",NA,"-2.09076801208365",NA,"1.1595727526813",NA,NA
"CAMLG",NA,NA,NA,NA,NA,NA,NA,NA,"1.05145814226916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMP",NA,NA,NA,NA,NA,"1.7011891248694","2.56356279987325","3.38080688732958","3.16043923233378",NA,NA,NA,"3.32104561039756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.61134267189947","2.74539179857039","3.64702017659455","2.54945068848907",NA,"2.97754733577487",NA,NA,NA,NA
"CASP1",NA,NA,NA,NA,NA,NA,"2.13950745200671","1.74610873650465",NA,NA,NA,NA,NA,NA,"1.16115074483966",NA,NA,NA,"1.07158809265316",NA,NA,NA,NA,"1.28156175291672","1.20954186977586",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASP4",NA,NA,NA,NA,NA,NA,"1.54916864435657","1.05410376213177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.05118636528825",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASP6",NA,NA,NA,NA,NA,NA,NA,NA,"-1.12325200836581",NA,NA,NA,"-1.38119376442601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.31183062104019",NA,NA,NA,NA,NA,NA,NA,NA
"CAV1",NA,NA,NA,NA,NA,NA,NA,"3.5867900172308",NA,NA,NA,NA,NA,NA,NA,NA,"2.60529254012581","3.4810757718473",NA,NA,NA,NA,"2.3995731654005",NA,"3.01762048796617",NA,NA,"3.26276355711626",NA,NA,NA,NA,NA,NA
"CCL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.51613664984679",NA,NA,NA,NA,NA,"2.15713445943832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCL18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.22345061016637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCL2",NA,NA,NA,"2.66681954022736","2.57587458779614",NA,NA,NA,"-7.3508253246454",NA,NA,NA,NA,NA,"2.36142599179105","2.1764736091274",NA,NA,"3.08163187813957",NA,NA,"5.35977929253193","-2.00781169899083","3.90627307690352",NA,"-7.45019902491316",NA,NA,NA,NA,NA,NA,NA,NA
"CCL20",NA,NA,NA,NA,NA,NA,NA,"2.27243365039279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.95701694869423","-1.67312752957781",NA,NA,"4.62170398728008",NA,"2.92001582432815",NA,"6.83853125322798",NA,"-4.39146105666551",NA,"-2.38334277643108"
"CCL24",NA,NA,NA,NA,NA,"3.8579604394502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.47114830625447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCL3","-1.9696283770647",NA,NA,NA,"1.05529634310568",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.01908575505593",NA,NA,"-1.34901868257804",NA,NA,NA,NA,"-1.55340875478635","1.42257935438524",NA,NA,NA,NA,NA,NA,NA,"-3.14342638105626",NA,"-1.56002800501409"
"CCL3L1",NA,NA,NA,NA,"1.04538579707391",NA,"-6.80350803589791",NA,NA,NA,NA,NA,NA,NA,"2.14992210708787","-1.5205333586369",NA,NA,NA,NA,NA,NA,"-1.40538976404172","2.21137069855099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
