"","genes","9","8","7","6","5","4","3","2","1"
"444","TCF7"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"445","TESPA1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"446","TFE3"," "," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM"
"447","TFEB"," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"448","THEMIS"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"449","THEMIS2"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"450","TICAM1"," "," "," "," ","B CELLS","ARPP","MACROPHAGES","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"451","TLR4"," "," ","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ARPP","ANTIVIRAL AND INTERFERON","MACROPHAGES","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"452","TMEM229B"," "," "," "," "," "," "," ","MACROPHAGES","INNATE IMMUNE SYSTEM"
"453","TMEM33"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"454","TNFAIP3"," "," "," "," "," ","B CELLS","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"455","TNFRSF17"," "," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM"
"456","TNFRSF4"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"457","TNFSF4"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"458","TOX"," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"459","TPD52"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"460","TRAF2"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"461","TREML1"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"462","TREML4"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"463","TRIL"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"464","TRIM21"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"465","TRIM22"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"466","TRIM40"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"467","TRIM49D1"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"468","TRIM58"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"469","TRIM59"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"470","TRIM64B"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"471","TRIM65"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"472","TRIM68"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"473","TUBB4B"," "," "," "," "," "," "," ","NK CELL","INNATE IMMUNE SYSTEM"
"474","TXK"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"475","TYRO3"," "," "," "," "," "," ","NK CELL","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"476","UBA7"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"477","UNC13D"," "," "," "," "," "," ","NK CELL","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"478","UNG"," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"479","VAMP2"," "," "," "," "," "," "," ","EOSINOPHIL","INNATE IMMUNE SYSTEM"
"480","VAV2"," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"481","VCAM1"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"482","VEGFA"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"483","VIM"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"484","VNN1"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"485","WFDC11"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"486","WFDC3"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"487","WNT3A"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"488","WNT4"," "," "," "," ","T CELLS","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"489","WNT5A"," "," "," "," "," "," "," ","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"490","XCL1"," "," ","NK CELL","NEUTROPHIL","MONOCYTES","EOSINOPHIL","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"491","ZAP70"," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"492","ZBTB46"," "," "," "," "," "," "," ","DENDRITIC CELLS","INNATE IMMUNE SYSTEM"
"493","ZC3H8"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"494","ZC3HAV1"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"495","ZFP36L2"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"496","ZFPM1"," "," "," "," "," "," "," ","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"497","ZNF683"," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"498","ZP3"," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
