"","vaccine","study","gse_id","genes","process","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size","base_mean","l2fc","lfcse","stat","pvalue","padj","direction","filter"
"1171","ChAd","ChAd-BNT (V3, D1)","GSE199750","CTSH","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,869.338242256308,0.563085981777751,0.194173447470273,2.89991236759576,0.00373267000279761,0.040245330296121,"NEUTRAL","p<0.05"
"1172","BNT","BNT (V2, D1)","GSE199750","CTSS","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,20477.4323703833,0.378643346782192,0.0611862827551712,6.18836983931975,6.078957184652e-10,1.21084644731221e-08,"NEUTRAL","p<0.05"
"1173","ChAd","ChAd-BNT (V3, D1)","GSE199750","CTSS","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,20477.4323703833,0.643584739806065,0.179935726957456,3.57674793487918,0.00034789534368677,0.00765747529929319,"NEUTRAL","p<0.05"
"1174","BNT","BNT (V3, D1)","GSE199750","CTSS","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,20477.4323703833,0.517142355268149,0.0861158985922376,6.00519025780407,1.91107671562087e-09,8.18733231948308e-08,"NEUTRAL","p<0.05"
"1175","ChAd","ChAd (V2, D1)","GSE199750","CTSS","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,20477.4323703833,0.455440275473735,0.139180704932624,3.27229464525424,0.00106678337518318,0.0114881693407742,"NEUTRAL","p<0.05"
"1176","BNT","BNT-MO (V3, D1)","GSE199750","CTSS","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,20477.4323703833,0.777705187162073,0.116873430069308,6.65425141283936,2.84745576224908e-11,2.4801104362267e-09,"NEUTRAL","p<0.05"
"1177","ChAd","ChAd-BNT (V3, D1)","GSE199750","EOMES","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,415.364749631198,-0.88034255862223,0.312433886067544,-2.81769231149246,0.0048370138151525,0.0476559835276414,"NEUTRAL","p<0.05"
"1178","BNT","BNT (V3, D1)","GSE199750","EOMES","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,415.364749631198,-0.5846404378835,0.149158722351508,-3.91958598643487,8.87012110585397e-05,0.00096224607652696,"NEUTRAL","p<0.05"
"1179","BNT","BNT (V2, D1)","GSE199750","EOMES","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,415.364749631198,-0.269499958291602,0.104861365919317,-2.57005958227706,0.0101681025048845,0.0321775566506964,"NEUTRAL","p<0.05"
"1180","BNT","BNT-MO (V3, D1)","GSE199750","EOMES","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,415.364749631198,-0.576198300382544,0.202857535472757,-2.84040865940583,0.00450557738863973,0.019100675824165,"NEUTRAL","p<0.05"
"1181","BBIBP","BBIBP (V3, D14)","GSE206023","ERAP2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,21.3925876082058,1.14154713977389,0.380448047357073,3.00053357535695,0.00269507039654584,1,"UP","p<0.05"
"1182","ZF2001","ZF2001 (V3, D07)","GSE206023","ERAP2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,9.71561081985587,0.676389251528679,0.310904122043688,2.17555575359543,0.0295884948878677,NA,"NEUTRAL","p<0.05"
"1183","BNT","BNT-MO (V3, D1)","GSE199750","ERAP2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,1379.99120654021,0.838557136556501,0.338261775941222,2.4790183112567,0.0131744542462351,0.0447628927165192,"NEUTRAL","p<0.05"
"1184","BNT","BNT (V2, D1)","GSE199750","ERAP2","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,1379.99120654021,0.632410362782556,0.180800376524709,3.49783764247928,0.00046904657687193,0.00233869564983879,"NEUTRAL","p<0.05"
"1185","ChAd","ChAd-BNT (V3, D1)","GSE199750","FBXO38","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,1034.73649055666,0.46094277699747,0.161077510472127,2.86162094041819,0.00421480663294085,0.0435686339799176,"NEUTRAL","p<0.05"
"1186","ZF2001","ZF2001 (V3, D07)","GSE206023","FBXO38","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,2.49510718437318,1.41881494740788,0.639661586021931,2.21807120892083,0.0265499775301936,NA,"UP","p<0.05"
"1187","BNT","BNT-MO (V3, D1)","GSE199750","GPR183","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,592.838223413488,-0.660470562913841,0.125248912834702,-5.27326383890852,1.34018677707575e-07,3.86435798730543e-06,"NEUTRAL","p<0.05"
"1188","BNT","BNT (V2, D1)","GSE199750","GPR183","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,592.838223413488,-0.292829511793489,0.0649247869067659,-4.51028837744206,6.47395568904897e-06,5.45030371168751e-05,"NEUTRAL","p<0.05"
"1189","BNT","BNT (V3, D1)","GSE199750","GPR183","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,592.838223413488,-0.481473674529062,0.0917488767659797,-5.24773372165785,1.53981637919507e-07,4.1659085077061e-06,"NEUTRAL","p<0.05"
"1190","BNT","BNT (V2, D1)","GSE199750","HLA-C","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,43836.9164857291,0.44391175331598,0.0764601783326704,5.80579019034675,6.40631432835544e-09,1.03965404004016e-07,"NEUTRAL","p<0.05"
"1191","BNT","BNT (V3, D1)","GSE199750","HLA-C","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,43836.9164857291,0.402865865196742,0.107428865332345,3.75007093252289,0.00017678455605115,0.00169364526751344,"NEUTRAL","p<0.05"
"1192","BBIBP","BBIBP (V3, D14)","GSE206023","HLA-C","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,10.4640658015871,0.655792459605377,0.329373164839434,1.99103184354764,0.0464773865193922,1,"NEUTRAL","p<0.05"
"1193","BNT","BNT-MO (V3, D1)","GSE199750","HLA-C","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,43836.9164857291,0.636963912243101,0.145804997993213,4.36860135804639,1.25044779722689e-05,0.00016199716453563,"NEUTRAL","p<0.05"
"1194","BNT","BNT (V2, D1)","GSE199750","HLA-DMA","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,828.862041921803,0.644655834477676,0.0762805798965141,8.45111344659738,2.88537714907787e-17,1.54354194404876e-15,"NEUTRAL","p<0.05"
"1195","BNT","BNT-MO (V3, D1)","GSE199750","HLA-DMA","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,828.862041921803,0.745610400505938,0.142020224453448,5.25002972904282,1.52074665147143e-07,4.26346664970972e-06,"NEUTRAL","p<0.05"
"1196","ChAd","ChAd-BNT (V3, D1)","GSE199750","HLA-DMA","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,828.862041921803,1.08650414841512,0.21826499582993,4.97791294606721,6.42735503588303e-07,6.07781390878877e-05,"UP","p<0.05"
"1197","BNT","BNT (V3, D1)","GSE199750","HLA-DMA","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,828.862041921803,0.635466676071589,0.104682123476432,6.07044120780236,1.27559309567468e-09,5.66041079381702e-08,"NEUTRAL","p<0.05"
"1198","ZF2001","ZF2001 (V3, D07)","GSE206023","HLA-DMA","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,151.278440320363,-0.363852672559688,0.162638389133941,-2.23718812327904,0.0252740472702011,0.129985990686497,"NEUTRAL","p<0.05"
"1199","ChAd","ChAd (V2, D1)","GSE199750","HLA-DMA","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,828.862041921803,0.542795932517935,0.17324087356719,3.13318630494793,0.0017291964581584,0.0166304561353496,"NEUTRAL","p<0.05"
"1200","BBIBP","BBIBP (V3, D28)","GSE206023","HLA-DMB","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,0.896701486832817,2.36907186148589,1.17522075372122,2.01585264213933,0.0438153869704794,1,"UP","p<0.05"
"1201","ZF2001","ZF2001 (V3, D07)","GSE206023","HLA-DMB","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,132.700265952839,-0.304573092816683,0.121004318898511,-2.51704315671687,0.0118344332299151,0.0794371176141974,"NEUTRAL","p<0.05"
"1202","ChAd","ChAd (V2, D1)","GSE199750","HLA-DMB","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,1015.50387514172,0.941740622610912,0.176966415399376,5.32157822423878,1.02870858755856e-07,7.3482356588985e-06,"NEUTRAL","p<0.05"
"1203","BNT","BNT (V2, D1)","GSE199750","HLA-DMB","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,1015.50387514172,0.669035953779722,0.0778408467904354,8.59492132171832,8.33218667218531e-18,4.64169698409622e-16,"NEUTRAL","p<0.05"
"1204","BNT","BNT (V3, D1)","GSE199750","HLA-DMB","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,1015.50387514172,0.420188451642558,0.109457639189925,3.83882253218955,0.0001236257424011,0.00125761747023672,"NEUTRAL","p<0.05"
"1205","BBIBP","BBIBP (V3, D07)","GSE206023","HLA-DMB","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,0.896701486832817,2.48940231886212,1.16133246382842,2.143574210141,0.0320670190467183,1,"UP","p<0.05"
"1206","ChAd","ChAd-BNT (V3, D1)","GSE199750","HLA-DMB","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,1015.50387514172,1.12428272935403,0.228527600502609,4.91968027879939,8.66856940299484e-07,7.76237317183036e-05,"UP","p<0.05"
"1207","BNT","BNT-MO (V3, D1)","GSE199750","HLA-DMB","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,1015.50387514172,0.474943308766484,0.148575477041859,3.19664670255561,0.00139035105304617,0.007438811454698,"NEUTRAL","p<0.05"
"1208","ChAd","ChAd-BNT (V3, D1)","GSE199750","HLA-DPA1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,3780.21511256523,1.25560588051938,0.292124564116548,4.29818657775875,1.72201183586464e-05,0.00079166387431492,"UP","p<0.05"
"1209","BNT","BNT (V3, D1)","GSE199750","HLA-DPA1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,3780.21511256523,0.723316528268406,0.139850227284624,5.17207974783128,2.31502735877955e-07,5.95074959370186e-06,"NEUTRAL","p<0.05"
"1210","ZF2001","ZF2001 (V3, D28)","GSE206023","HLA-DPA1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,56.7283526738517,0.499341657535945,0.139530416504109,3.57872978556786,0.00034526822081849,0.0210338969523631,"NEUTRAL","p<0.05"
"1211","ZF2001","ZF2001 (V3, D14)","GSE206023","HLA-DPA1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,56.7283526738517,0.437474696919551,0.140428664244683,3.11528062502463,0.00183769986385987,0.105277015002524,"NEUTRAL","p<0.05"
"1212","BNT","BNT-MO (V3, D1)","GSE199750","HLA-DPA1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,3780.21511256523,0.678243149212304,0.189815452528886,3.57317141558372,0.0003526837226296,0.00243973334610659,"NEUTRAL","p<0.05"
"1213","ChAd","ChAd (V2, D1)","GSE199750","HLA-DPA1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,3780.21511256523,0.641437218642146,0.227293456069386,2.82206637064965,0.0047715301210979,0.0344195811927044,"NEUTRAL","p<0.05"
"1214","BNT","BNT (V2, D1)","GSE199750","HLA-DPA1","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,3780.21511256523,0.690277741641027,0.0999456210625699,6.90653311573186,4.96641042399424e-12,1.39181068626404e-10,"NEUTRAL","p<0.05"
"1215","BNT","BNT (V3, D1)","GSE199750","HLA-E","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,42136.882495569,0.353163759891426,0.075212052171869,4.69557404289944,2.65859041642923e-06,5.0621290693311e-05,"NEUTRAL","p<0.05"
"1216","BNT","BNT (V2, D1)","GSE199750","HLA-E","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","Adaptive","General","Lymphocyte","GO:0002250",330,42136.882495569,0.333479488276088,0.0532604713171322,6.26129435262467,3.81795070329344e-10,7.94689084569151e-09,"NEUTRAL","p<0.05"
