"cell_name","marker","Type"
"CD8+ T helper 1 cell","CXCR3,CXCR3","Adaptive"
"CD8+ T helper 17 cell","CCR6,CD161,CCR6,CD161","Adaptive"
"CD8+ mucosal-associated invariant T cell(CD8+ MAIT)","CD3E,CD8A,KLRB1,CD8B,CD4,ZBTB16,SLC4A10,RORC,RORA,NCR3","Adaptive"
"CD8+ recently activated effector memory or effector T cell (CTL)","FGFBP2,S1PR5,CD4,GZMH,FCGR3A,CD8A,PRF1,TBX21,S1PR1,CD3E,CD8B,EOMES,KLRG1,CX3CR1","Adaptive"
"Follicular cytotoxic CD8+ T cell","CXCR5","Adaptive"
"Exhausted CD8+ T cell","TIGIT,TIM3,LAG3,PD1,TIM3,CD279,TIGIT,CD3E,CD8A,PDCD1,LAG3,CD3D","Adaptive"
"CD8+ intraepithelial cell","KLRC2,CD160,KLRC3","Adaptive"
"Activated memory CD8+ T cell","CD69,CD45RO,CD8","Adaptive"
"Activated naive CD8+ T cell","CD69,CD45RA","Adaptive"
"Terminal effector CD8+ T cell","NKG7,GZMA,PRF1,GZMB","Adaptive"
"Transitional CD8+ T cell","GZMK","Adaptive"
"Activated CD8+ T cell","CD3E,CD8A,GZMB,NKG7,GZMH,CCL5,CD8A,CCL5,CD3D,CD8,HLADR,CD3,CD38","Adaptive"
"Cytotoxic CD8 T cell","GZMB","Adaptive"
"Effector memory CD8 T cell","GZMK","Adaptive"
"Naive CD8 T cell","CCR7","Adaptive"
"EMRA CD8+ T cell","CD8a,CD45RA,CD3","Adaptive"
"Effector CD8 T cell","GZMK,GZMB,GZMA,HLA-DRs,ZEB2,NKG7,CCL5,FGFBP2,CX3CR1,GZMH","Adaptive"
"CD8+ tumor antigen-specific T (Tas) cell","CXCL13,ENTPD1","Adaptive"
"Proliferative CD8+ T cell","CD8A,CD3E,MK167,TYMS,CD3D","Adaptive"
"Regulatory CD8+ T cell","CD8A,CD3D,FOXP3,CD3E","Adaptive"
"Early activated CD8+ T cell","CD8,CD3,CD25","Adaptive"
"Effector regulatory T(eTreg) cell","CD4,CD25,CD49d,CD45RO,GNLY,CD8+,PRF1,GZMH,GZMA,ddhCTP,VSNA,SNA,CD25,CD4,CD3,Pdc1,Lgals3,Lag3,Vim,Tox,Id3,Vβ,Jβ","Adaptive"
"Induced regulatory T (Treg) cell","CD4,CD25,CD127,CD25,CD127,CD4,FOXP3","Adaptive"
"Naive regulatory T (Treg) cell","CD4,CD25,CD127,CD45RA","Adaptive"
"Natural regulatory T (Treg) cell","CD4,CD25,CD127,HELIOS,CD6","Adaptive"
"Regulatory T (Treg) cell","CD4,CD4,CD25,CD4,CD25,CD25,CD4,CD25,CD122,CD39,CD39,CD101,CD25,CD4,CD25,FOXP3,CD4,GITR,GARP,FCRL3,TIGIT,CD49d,CD127,SELPLG,TBC1D4,ISG20,B3GNT2,TRIM16,GLRX,RNF214,CORO7,FCMR,CCR4,METTL7A,CCR10,BIRC3,CCR8,CCM2,SNX20,ELK3,RTKN2,CCDC141,FAM110A,TTN,FANK1,CPNE2,ATP2B1,IL10RA,FOXP3,CASP2,CORO7-PAM16,TTC39C,IL2RA,PDP1,HPGD,STAM,USP15,FCRL3,SAMHD1,REREP3,PI16,HAPLN3,CLDND1,LMNA,F5,ANXA2P2,IKZF2,TLDC2,FOXP3,CD3,CD25,CD4,FOXP3,IL2RA,CD4,CTLA4,CD25,FOXP3,CMTM7,CCR10,CD52","Adaptive"
"FOXP3+ natural regulatory T (Treg) cell","CD6,CD4,CD25","Adaptive"
"Regulatory T(Treg) cell","CD4,CD127,FOXP3,CCR7,CD4,CD45RO,CD25,CD3,FoxP3,CTLA,CD49d,CD127,CD25,GITR,CD39,CD4,CD3,CD25,FOXP3,CD4,CD3,CD25,FoxP3,CD25,CCR4,CD161,Foxp3,CTLA4,CD39,ICOS,HLA-DR,Lag-3,Foxp3,CD3,CD25,CD4,CORO1B,FANK1,FOXP3,ARID5B,RTKN2,CTLA4,GBP2,IL2RA,ICA1,IL2RA,CTLA4,IL-2RA,IKZF2,FOXP3,CTLA-4,TIGIT,CD4,Foxp3,FOXP3,IL2RA,IKZF2,FOXP3,TNFRSF4,TIGIT,FOXP3,IL2RA,FOXP3,S1PR4,CD4,IKZF2,IL2RA,IL10RA,PTKN2,CDC25B,CD3E,CD3D,CD25,CD4,CD25,FOXP3,CD4,CD25,FOXP3,CD27,CD3D,RTKN2,FOXP3,IKZF2,CD25,CD3,RTKN2,CD25,CD4,FoxP3,ICOS,BATF,CTLA4,BACH2,TIGIT,FOXP3,PRDM1,CD25,CTLA4,IL32,FOXP3,IL10RA,IL2RA,IKZF2,Foxp3,IL2RA,ICOS,CD28,CTLA4,CD25,CD3,CD4,CD3D,FOXP3,IL2RA,CD4,CD25,CD25,FOXP3,FOXP3,IL2RA,CD25,CD4,CD3E,IL2RA,CD70,LTA,FOXP3,IL4I1,TIGIT,SOCS1,CD4,LGALS3,LGALS1,CD3,CD4,CD25,CD4,CD3,CD25,TIGIT,FOXP3,IKZF2,CD3,CD125,CD4","Adaptive"
"T helper cell","CD4,Leu8,CD4,CD62L,Leu-3a,CD4,CD3,CD42b","Adaptive"
"T helper17 (Th17) cell","CD161,IL-17,CD146,CCR6,IL17Ra,CD3,CD4","Adaptive"
"T helper2 (Th2) cell","IL-4,CCR4,CD4,CD3,IL-4","Adaptive"
