"","condition","genes"
"4153","I-I (D3)","FRK"
"4154","I-I (D5)","FRK"
"4155","ZF2001 (V3, D07)","FRK"
"4156","BNT-I (D1)","FUT4"
"4157","BNT-I (D10, mild)","FUT4"
"4158","BNT-I (D10, severe)","FUT4"
"4159","BNT-I (D26, mild)","FUT4"
"4160","BNT-I (D26, severe)","FUT4"
"4161","BNT-I-BNT (D51, mild)","FUT4"
"4162","BNT-I-BNT (D51, severe)","FUT4"
"4163","I (D10, moderate)","FUT4"
"4164","I (D26, moderate)","FUT4"
"4165","I (D26, severe)","FUT4"
"4166","I (D51, moderate)","FUT4"
"4167","I (D51, severe)","FUT4"
"4168","BNT-I (D10, mild)","FUT7"
"4169","BNT-I (D10, severe)","FUT7"
"4170","BNT-I (D26, mild)","FUT7"
"4171","I (D1)","FUT7"
"4172","I (D10, severe)","FUT7"
"4173","I (D51, severe)","FUT7"
"4174","I-I (D0)","FUT7"
"4175","BBIBP (V3, D07)","FYB2"
"4176","BBIBP (V3, D14)","FYB2"
"4177","BBIBP (V3, D28)","FYB2"
"4178","ZF2001 (V3, D07)","FYB2"
"4179","ZF2001 (V3, D14)","FYB2"
"4180","ZF2001 (V3, D28)","FYB2"
"4181","BBIBP (V3, D14)","FZD9"
"4182","BNT-I (D10, severe)","FZD9"
"4183","BNT-I (D26, mild)","FZD9"
"4184","BNT-I (D51, severe)","FZD9"
"4185","BNT-I-BNT (D51, severe)","FZD9"
"4186","BNT-MO (V3, D1)","FZD9"
"4187","I (D1)","FZD9"
"4188","I (D10, severe)","FZD9"
"4189","I (D26, moderate)","FZD9"
"4190","I (D26, severe)","FZD9"
"4191","I (D51, severe)","FZD9"
"4192","I-I (D2)","FZD9"
"4193","ZF2001 (V3, D07)","FZD9"
"4194","BNT-I (D10, mild)","GAPT"
"4195","BNT-I (D10, severe)","GAPT"
"4196","I (D10, moderate)","GAPT"
"4197","I (D10, severe)","GAPT"
"4198","BNT-MO (V3, D1)","GARIN5A"
"4199","ZF2001 (V3, D07)","GARIN5A"
"4200","ZF2001 (V3, D14)","GARIN5A"
"4201","BNT-I (D10, mild)","GATA3"
"4202","BNT-I (D10, severe)","GATA3"
"4203","BNT-I (D26, mild)","GATA3"
"4204","BNT-I (D3)","GATA3"
"4205","BNT-I-BNT (D51, mild)","GATA3"
"4206","I (D10, moderate)","GATA3"
"4207","I (D10, severe)","GATA3"
"4208","I (D26, moderate)","GATA3"
"4209","I (D26, severe)","GATA3"
"4210","I (D51, severe)","GATA3"
"4211","BNT-I (D10, mild)","GBP1"
"4212","BNT-I (D10, severe)","GBP1"
"4213","BNT-I (D2)","GBP1"
"4214","BNT-I (D26, severe)","GBP1"
"4215","BNT-I (D3)","GBP1"
"4216","ChAd (V1, D3)","GBP1"
"4217","ChAd (V2, D7)","GBP1"
"4218","ChAd-BNT (V2, D3)","GBP1"
"4219","I (D1)","GBP1"
"4220","I (D10, moderate)","GBP1"
"4221","I (D26, severe)","GBP1"
"4222","I (D51, severe)","GBP1"
"4223","I-I (D0)","GBP1"
"4224","I-I (D1)","GBP1"
"4225","I-I (D2)","GBP1"
"4226","I-I (D5)","GBP1"
"4227","BNT-I (D10, mild)","GBP2"
"4228","BNT-I (D10, severe)","GBP2"
"4229","BNT-I (D26, mild)","GBP2"
"4230","I (D1)","GBP2"
"4231","I (D10, moderate)","GBP2"
"4232","I (D26, severe)","GBP2"
"4233","I (D51, severe)","GBP2"
"4234","BNT-I (D1)","GBP6"
"4235","BNT-I (D10, mild)","GBP6"
"4236","BNT-I (D10, severe)","GBP6"
"4237","BNT-I (D2)","GBP6"
"4238","BNT-I (D26, mild)","GBP6"
"4239","BNT-I (D26, severe)","GBP6"
"4240","BNT-I-BNT (D51, severe)","GBP6"
"4241","ChAd-BNT (V3, D1)","GBP6"
"4242","I (D1)","GBP6"
"4243","I (D10, moderate)","GBP6"
"4244","I (D10, severe)","GBP6"
"4245","I (D26, severe)","GBP6"
"4246","I (D51, severe)","GBP6"
"4247","I-I (D1)","GBP6"
"4248","I-I (D5)","GBP6"
"4249","BBIBP (V3, D07)","GBP7"
"4250","BBIBP (V3, D14)","GBP7"
"4251","BBIBP (V3, D28)","GBP7"
"4252","BNT (V2, D1)","GBP7"
"4253","BNT-I (D10, mild)","GBP7"
"4254","BNT-I (D10, severe)","GBP7"
"4255","BNT-I (D26, mild)","GBP7"
"4256","BNT-I (D51, severe)","GBP7"
"4257","BNT-I-BNT (D51, severe)","GBP7"
"4258","ChAd (V2, D3)","GBP7"
"4259","ChAd (V2, D7)","GBP7"
"4260","ChAd-BNT (V2, D3)","GBP7"
"4261","ChAd-BNT (V3, D1)","GBP7"
"4262","I (D1)","GBP7"
"4263","I (D26, moderate)","GBP7"
"4264","I-I (D1)","GBP7"
"4265","ZF2001 (V3, D07)","GBP7"
"4266","ZF2001 (V3, D28)","GBP7"
"4267","BNT-I (D1)","GCH1"
"4268","BNT-I (D10, mild)","GCH1"
"4269","BNT-I (D10, severe)","GCH1"
"4270","I (D1)","GCH1"
"4271","I (D10, moderate)","GCH1"
"4272","I (D51, severe)","GCH1"
"4273","I-I (D1)","GCH1"
"4274","I-I (D5)","GCH1"
"4275","I (D10, moderate)","GCNT1"
"4276","BBIBP (V3, D07)","GEM"
"4277","BBIBP (V3, D14)","GEM"
"4278","BBIBP (V3, D28)","GEM"
"4279","BNT-I (D10, mild)","GEM"
"4280","BNT-I (D26, mild)","GEM"
"4281","BNT-I (D51, severe)","GEM"
"4282","I (D1)","GEM"
"4283","I (D10, moderate)","GEM"
"4284","I (D10, severe)","GEM"
"4285","I (D26, moderate)","GEM"
"4286","I-I (D0)","GEM"
"4287","I-I (D1)","GEM"
"4288","I-I (D2)","GEM"
"4289","BNT-I (D10, mild)","GLI3"
"4290","BNT-I (D10, severe)","GLI3"
"4291","BNT-I (D26, mild)","GLI3"
"4292","BNT-I (D26, severe)","GLI3"
"4293","BNT-I (D51, severe)","GLI3"
"4294","BNT-I-BNT (D51, severe)","GLI3"
"4295","ChAd (V2, D3)","GLI3"
"4296","ChAd (V2, D7)","GLI3"
"4297","I (D26, moderate)","GLI3"
"4298","I (D51, severe)","GLI3"
"4299","I-I (D1)","GLI3"
"4300","I-I (D2)","GLI3"
"4301","ZF2001 (V3, D07)","GLI3"
"4302","ZF2001 (V3, D14)","GLI3"
"4303","BNT-I (D10, mild)","GNLY"
"4304","BNT-I (D10, severe)","GNLY"
"4305","BNT-I (D26, mild)","GNLY"
"4306","BNT-I (D26, severe)","GNLY"
"4307","BNT-I-BNT (D51, mild)","GNLY"
"4308","I (D10, moderate)","GNLY"
"4309","I (D26, moderate)","GNLY"
"4310","I (D26, severe)","GNLY"
"4311","I-I (D0)","GNLY"
"4312","I-I (D1)","GNLY"
"4313","I-I (D3)","GNLY"
"4314","BBIBP (V3, D14)","GP2"
"4315","BNT-MO (V3, D1)","GP2"
"4316","ZF2001 (V3, D07)","GP2"
"4317","BNT-I-BNT (D51, severe)","GPLD1"
"4318","ChAd-BNT (V2, D7)","GPLD1"
"4319","BNT-I (D1)","GPR15"
"4320","BNT-I (D10, mild)","GPR15"
"4321","BNT-I (D10, severe)","GPR15"
"4322","BNT-I (D26, mild)","GPR15"
"4323","BNT-I (D3)","GPR15"
"4324","BNT-I-BNT (D51, mild)","GPR15"
"4325","BNT-I-BNT (D51, severe)","GPR15"
"4326","I (D1)","GPR15"
"4327","I (D10, moderate)","GPR15"
"4328","I (D10, severe)","GPR15"
"4329","I (D26, moderate)","GPR15"
"4330","I (D26, severe)","GPR15"
"4331","I (D51, severe)","GPR15"
"4332","I-I (D1)","GPR15"
"4333","I-I (D5)","GPR15"
"4334","BBIBP (V3, D14)","GPR15LG"
"4335","ZF2001 (V3, D07)","GPR15LG"
"4336","ZF2001 (V3, D14)","GPR15LG"
"4337","BNT-I (D10, mild)","GPR183"
"4338","BNT-I (D10, severe)","GPR183"
"4339","BNT-I (D2)","GPR183"
"4340","BNT-I (D26, mild)","GPR183"
"4341","BNT-I (D3)","GPR183"
"4342","I (D1)","GPR183"
"4343","I (D10, moderate)","GPR183"
"4344","I (D10, severe)","GPR183"
"4345","I-I (D1)","GPR183"
"4346","I-I (D2)","GPR183"
"4347","I-I (D5)","GPR183"
"4348","BNT-MO (V3, D1)","GPR32P1"
"4349","I (D51, severe)","GPR65"
"4350","BNT-I (D10, mild)","GPR89A"
"4351","BNT-I (D10, mild)","GPR89B"
"4352","BNT-I (D10, severe)","GPR89B"
"4353","BNT-I (D26, mild)","GPR89B"
"4354","I (D10, severe)","GPR89B"
"4355","I (D26, moderate)","GPR89B"
"4356","BNT-I (D26, mild)","GRB2"
"4357","I (D51, severe)","GRB2"
"4358","BNT-I (D1)","GRN"
"4359","BNT-I (D2)","GRN"
"4360","BNT-I (D3)","GRN"
"4361","I (D1)","GRN"
"4362","I (D26, severe)","GRN"
"4363","I-I (D5)","GRN"
"4364","I (D26, severe)","GSDMD"
"4365","BNT-I (D2)","GTPBP1"
"4366","BNT-I (D26, mild)","GTPBP1"
"4367","I (D1)","GTPBP1"
"4368","I (D10, severe)","GTPBP1"
"4369","I (D51, severe)","GTPBP1"
"4370","BNT-I (D10, mild)","GZMA"
"4371","BNT-I (D10, mild)","GZMB"
"4372","BNT-I (D26, mild)","GZMB"
"4373","BNT-I-BNT (D51, severe)","GZMB"
"4374","ChAd (V2, D7)","GZMB"
"4375","I (D1)","GZMB"
"4376","I (D26, moderate)","GZMB"
"4377","I (D26, severe)","GZMB"
"4378","I-I (D0)","GZMB"
"4379","I-I (D1)","GZMB"
"4380","I-I (D3)","GZMB"
"4381","I-I (D5)","GZMB"
"4382","BNT-I (D10, mild)","GZMM"
"4383","BNT-I (D10, severe)","GZMM"
"4384","BNT-I (D26, mild)","GZMM"
"4385","BNT-I-BNT (D51, severe)","GZMM"
"4386","ChAd (V2, D7)","GZMM"
"4387","I (D10, moderate)","GZMM"
"4388","I (D10, severe)","GZMM"
"4389","I (D26, moderate)","GZMM"
"4390","I (D26, severe)","GZMM"
"4391","BBIBP (V3, D28)","H2BC12L"
"4392","BNT-I (D1)","HAMP"
"4393","BNT-I (D10, mild)","HAMP"
"4394","BNT-I (D3)","HAMP"
"4395","BNT-I (D51, severe)","HAMP"
"4396","BNT-I-BNT (D51, mild)","HAMP"
"4397","BNT-I-BNT (D51, severe)","HAMP"
"4398","ChAd (V2, D7)","HAMP"
"4399","I (D51, moderate)","HAMP"
"4400","I (D51, severe)","HAMP"
"4401","BBIBP (V3, D14)","HAND2"
"4402","BNT-MO (V3, D1)","HAND2"
"4403","ZF2001 (V3, D07)","HAND2"
"4404","ZF2001 (V3, D28)","HAND2"
"4405","BNT-I (D10, mild)","HCK"
"4406","BNT-I (D26, mild)","HCK"
"4407","BNT-I (D51, severe)","HCK"
"4408","BNT-I (D10, mild)","HDAC4"
"4409","BNT-I (D10, severe)","HDAC4"
"4410","BNT-I (D26, mild)","HDAC4"
"4411","I (D10, severe)","HDAC4"
"4412","I (D51, severe)","HDAC4"
"4413","BNT-I (D1)","HHEX"
"4414","BNT-I (D10, mild)","HHEX"
"4415","BNT-I (D10, severe)","HHEX"
"4416","BNT-I (D26, mild)","HHEX"
"4417","BNT-I-BNT (D51, mild)","HHEX"
"4418","I (D10, moderate)","HHEX"
"4419","I (D26, severe)","HHEX"
"4420","I (D51, moderate)","HHEX"
"4421","BNT-I (D10, mild)","HLA-C"
"4422","BNT-I (D10, severe)","HLA-C"
"4423","BNT-I (D2)","HLA-C"
"4424","BNT-I (D26, mild)","HLA-C"
"4425","I (D10, severe)","HLA-C"
"4426","I (D51, severe)","HLA-C"
"4427","BBIBP (V3, D07)","HLA-DMA"
"4428","BBIBP (V3, D14)","HLA-DMA"
"4429","BBIBP (V3, D28)","HLA-DMA"
"4430","BNT-I (D10, severe)","HLA-DOB"
"4431","BNT-I (D26, mild)","HLA-DOB"
"4432","BNT-I-BNT (D51, mild)","HLA-DOB"
"4433","BNT-I-BNT (D51, severe)","HLA-DOB"
"4434","I-I (D1)","HLA-DOB"
"4435","I-I (D3)","HLA-DOB"
"4436","BNT-I (D10, severe)","HLA-DPA1"
"4437","BNT-I (D26, mild)","HLA-DPA1"
"4438","BNT-I (D26, severe)","HLA-DPA1"
"4439","I (D10, severe)","HLA-DPA1"
"4440","I (D26, severe)","HLA-DPA1"
"4441","ZF2001 (V3, D07)","HLA-DRB3"
"4442","ZF2001 (V3, D14)","HLA-DRB3"
"4443","ZF2001 (V3, D28)","HLA-DRB3"
"4444","BNT-I (D10, mild)","HLA-E"
"4445","BNT-I (D10, severe)","HLA-E"
"4446","I (D10, severe)","HLA-E"
"4447","I (D51, severe)","HLA-E"
"4448","I (D51, severe)","HLA-F"
"4449","BNT-I (D26, severe)","HLA-G"
"4450","BNT-I-BNT (D51, severe)","HLA-G"
"4451","I (D1)","HLA-G"
"4452","I-I (D2)","HLA-G"
"4453","ZF2001 (V3, D28)","HLA-G"
"4454","BNT-I (D10, mild)","HMGB2"
"4455","BNT-I (D10, severe)","HMGB2"
"4456","BNT-I (D26, mild)","HMGB2"
"4457","BNT-I-BNT (D51, mild)","HMGB2"
"4458","I (D10, moderate)","HMGB2"
"4459","I (D10, severe)","HMGB2"
"4460","I (D26, moderate)","HMGB2"
"4461","I (D26, severe)","HMGB2"
"4462","I (D51, severe)","HMGB2"
"4463","BNT-I (D3)","HMHB1"
"4464","BNT-I-BNT (D51, severe)","HMHB1"
"4465","ChAd (V1, D3)","HMHB1"
"4466","ChAd (V1, D7)","HMHB1"
"4467","ChAd (V2, D7)","HMHB1"
"4468","ChAd-BNT (V2, D7)","HMHB1"
"4469","I (D1)","HMHB1"
"4470","I (D26, moderate)","HMHB1"
"4471","I (D51, moderate)","HMHB1"
"4472","I (D51, severe)","HMHB1"
"4473","I-I (D3)","HMHB1"
"4474","BBIBP (V3, D07)","HMSD"
"4475","BBIBP (V3, D28)","HMSD"
"4476","BNT-I (D1)","HMSD"
"4477","BNT-I (D2)","HMSD"
"4478","BNT-I (D26, severe)","HMSD"
"4479","BNT-I (D3)","HMSD"
"4480","ChAd (V2, D3)","HMSD"
"4481","I (D1)","HMSD"
"4482","I (D10, moderate)","HMSD"
"4483","I (D10, severe)","HMSD"
"4484","I (D51, severe)","HMSD"
"4485","I-I (D2)","HMSD"
"4486","I-I (D5)","HMSD"
"4487","ZF2001 (V3, D07)","HMSD"
"4488","BNT-I (D10, mild)","HOXB4"
"4489","BNT-I (D10, severe)","HOXB4"
"4490","BNT-I (D26, mild)","HOXB4"
"4491","BNT-I (D26, severe)","HOXB4"
"4492","BNT-I-BNT (D51, mild)","HOXB4"
"4493","BNT-I-BNT (D51, severe)","HOXB4"
"4494","I (D26, moderate)","HOXB4"
"4495","BNT-I (D1)","HP"
"4496","BNT-I (D10, mild)","HP"
"4497","BNT-I (D10, severe)","HP"
"4498","BNT-I (D26, mild)","HP"
"4499","BNT-I (D51, severe)","HP"
"4500","BNT-I-BNT (D51, mild)","HP"
"4501","BNT-I-BNT (D51, severe)","HP"
"4502","I (D1)","HP"
"4503","I (D10, moderate)","HP"
"4504","I (D10, severe)","HP"
"4505","I (D26, moderate)","HP"
"4506","I (D26, severe)","HP"
"4507","I (D51, moderate)","HP"
"4508","I (D51, severe)","HP"
"4509","BNT-I (D26, mild)","HPRT1"
"4510","BNT-I (D10, mild)","HRH2"
"4511","BNT-I (D10, severe)","HRH2"
"4512","BNT-I (D26, mild)","HRH2"
"4513","BNT-I (D51, severe)","HRH2"
"4514","I (D10, severe)","HRH2"
"4515","BBIBP (V3, D14)","HTN1"
"4516","ZF2001 (V3, D07)","HTN1"
"4517","ZF2001 (V3, D14)","HTN1"
"4518","BBIBP (V3, D14)","HTN3"
"4519","ZF2001 (V3, D07)","HTN3"
"4520","BNT-I (D1)","HYAL2"
"4521","I (D1)","HYAL2"
"4522","BNT (V2, D1)","IDO1"
"4523","BNT-I (D10, severe)","IDO1"
"4524","BNT-MO (V3, D1)","IDO1"
"4525","ChAd (V1, D3)","IDO1"
"4526","ChAd (V2, D3)","IDO1"
"4527","ChAd (V2, D7)","IDO1"
"4528","ChAd-BNT (V2, D3)","IDO1"
"4529","I (D1)","IDO1"
"4530","I (D10, moderate)","IDO1"
"4531","I (D10, severe)","IDO1"
"4532","I (D26, severe)","IDO1"
"4533","I-I (D1)","IDO1"
"4534","I-I (D3)","IDO1"
"4535","I-I (D5)","IDO1"
"4536","BBIBP (V3, D14)","IDO2"
"4537","BNT-I (D10, mild)","IDO2"
"4538","BNT-I (D26, severe)","IDO2"
"4539","BNT-I (D51, severe)","IDO2"
"4540","BNT-I-BNT (D51, severe)","IDO2"
"4541","ChAd (V2, D7)","IDO2"
"4542","I (D1)","IDO2"
"4543","I (D10, moderate)","IDO2"
"4544","I-I (D3)","IDO2"
"4545","ZF2001 (V3, D07)","IDO2"
"4546","ZF2001 (V3, D14)","IDO2"
"4547","ZF2001 (V3, D28)","IDO2"
"4548","BNT-I (D1)","IFI27"
"4549","BNT-I (D10, mild)","IFI27"
"4550","BNT-I (D10, severe)","IFI27"
"4551","BNT-I (D2)","IFI27"
"4552","BNT-I (D26, mild)","IFI27"
"4553","BNT-I (D26, severe)","IFI27"
"4554","BNT-I (D3)","IFI27"
"4555","BNT-I (D51, severe)","IFI27"
"4556","BNT-I-BNT (D51, mild)","IFI27"
"4557","ChAd (V1, D3)","IFI27"
"4558","ChAd (V1, D7)","IFI27"
"4559","ChAd (V2, D7)","IFI27"
"4560","ChAd-BNT (V2, D3)","IFI27"
"4561","I (D1)","IFI27"
"4562","I (D10, moderate)","IFI27"
"4563","I (D10, severe)","IFI27"
"4564","I (D26, moderate)","IFI27"
"4565","I (D26, severe)","IFI27"
"4566","I (D51, moderate)","IFI27"
"4567","I (D51, severe)","IFI27"
"4568","I-I (D0)","IFI27"
"4569","I-I (D1)","IFI27"
"4570","I-I (D2)","IFI27"
"4571","I-I (D3)","IFI27"
"4572","I-I (D5)","IFI27"
"4573","BNT-I (D1)","IFI30"
"4574","BNT-I (D10, mild)","IFI30"
"4575","BNT-I (D10, severe)","IFI30"
"4576","BNT-I (D2)","IFI30"
"4577","BNT-I (D26, mild)","IFI30"
"4578","BNT-I-BNT (D51, mild)","IFI30"
"4579","I (D1)","IFI30"
"4580","I (D51, severe)","IFI30"
"4581","I-I (D0)","IFI30"
"4582","I-I (D1)","IFI30"
"4583","I-I (D5)","IFI30"
"4584","BNT-I (D1)","IFI35"
"4585","BNT-I (D10, mild)","IFI35"
"4586","BNT-I (D10, severe)","IFI35"
"4587","BNT-I (D2)","IFI35"
"4588","BNT-I (D3)","IFI35"
"4589","I (D1)","IFI35"
"4590","I (D10, moderate)","IFI35"
"4591","I (D51, severe)","IFI35"
"4592","I-I (D0)","IFI35"
"4593","I-I (D1)","IFI35"
"4594","I-I (D3)","IFI35"
"4595","I-I (D5)","IFI35"
"4596","BNT-I (D1)","IFI6"
"4597","BNT-I (D10, mild)","IFI6"
"4598","BNT-I (D10, severe)","IFI6"
"4599","BNT-I (D2)","IFI6"
"4600","BNT-I (D26, severe)","IFI6"
"4601","BNT-I (D3)","IFI6"
"4602","BNT-I-BNT (D51, mild)","IFI6"
"4603","ChAd (V1, D3)","IFI6"
"4604","ChAd (V2, D7)","IFI6"
"4605","ChAd-BNT (V2, D3)","IFI6"
"4606","I (D1)","IFI6"
"4607","I (D10, moderate)","IFI6"
"4608","I (D10, severe)","IFI6"
"4609","I (D26, severe)","IFI6"
"4610","I (D51, severe)","IFI6"
"4611","I-I (D0)","IFI6"
"4612","I-I (D1)","IFI6"
"4613","I-I (D2)","IFI6"
"4614","I-I (D3)","IFI6"
"4615","I-I (D5)","IFI6"
"4616","BNT-I (D1)","IFIT1"
"4617","BNT-I (D10, mild)","IFIT1"
"4618","BNT-I (D10, severe)","IFIT1"
"4619","BNT-I (D2)","IFIT1"
"4620","BNT-I (D3)","IFIT1"
"4621","ChAd (V2, D7)","IFIT1"
"4622","ChAd-BNT (V2, D3)","IFIT1"
"4623","ChAd-BNT (V2, D7)","IFIT1"
"4624","I (D1)","IFIT1"
"4625","I (D10, moderate)","IFIT1"
"4626","I-I (D0)","IFIT1"
"4627","I-I (D1)","IFIT1"
"4628","I-I (D2)","IFIT1"
"4629","I-I (D3)","IFIT1"
"4630","I-I (D5)","IFIT1"
"4631","BNT-I (D1)","IFIT2"
"4632","BNT-I (D10, mild)","IFIT2"
"4633","BNT-I (D10, severe)","IFIT2"
"4634","BNT-I (D2)","IFIT2"
"4635","BNT-I (D3)","IFIT2"
"4636","ChAd (V2, D7)","IFIT2"
"4637","ChAd-BNT (V2, D3)","IFIT2"
"4638","ChAd-BNT (V2, D7)","IFIT2"
"4639","I (D1)","IFIT2"
"4640","I (D10, moderate)","IFIT2"
"4641","I-I (D0)","IFIT2"
"4642","I-I (D1)","IFIT2"
"4643","I-I (D2)","IFIT2"
"4644","I-I (D3)","IFIT2"
"4645","I-I (D5)","IFIT2"
"4646","BNT-I (D10, mild)","IFITM1"
"4647","BNT-I (D10, severe)","IFITM1"
"4648","BNT-I (D2)","IFITM1"
"4649","BNT-I (D26, mild)","IFITM1"
"4650","BNT-I-BNT (D51, mild)","IFITM1"
"4651","I (D1)","IFITM1"
"4652","I (D10, moderate)","IFITM1"
"4653","I (D10, severe)","IFITM1"
"4654","I (D26, severe)","IFITM1"
"4655","I (D51, severe)","IFITM1"
"4656","I-I (D0)","IFITM1"
"4657","I-I (D1)","IFITM1"
"4658","I-I (D3)","IFITM1"
"4659","I-I (D5)","IFITM1"
"4660","BNT-I (D10, mild)","IFITM2"
"4661","BNT-I (D10, severe)","IFITM2"
"4662","BNT-I (D26, mild)","IFITM2"
"4663","BNT-I-BNT (D51, mild)","IFITM2"
"4664","I (D1)","IFITM2"
"4665","I (D10, severe)","IFITM2"
"4666","I (D26, moderate)","IFITM2"
"4667","I (D51, severe)","IFITM2"
"4668","BNT-I (D1)","IFITM3"
"4669","BNT-I (D10, mild)","IFITM3"
"4670","BNT-I (D10, severe)","IFITM3"
"4671","BNT-I (D2)","IFITM3"
"4672","BNT-I (D26, mild)","IFITM3"
"4673","BNT-I (D26, severe)","IFITM3"
"4674","BNT-I (D3)","IFITM3"
"4675","BNT-I-BNT (D51, mild)","IFITM3"
"4676","BNT-I-BNT (D51, severe)","IFITM3"
"4677","ChAd (V1, D3)","IFITM3"
"4678","ChAd (V2, D7)","IFITM3"
"4679","ChAd-BNT (V2, D3)","IFITM3"
"4680","I (D1)","IFITM3"
"4681","I (D10, moderate)","IFITM3"
"4682","I (D51, severe)","IFITM3"
"4683","I-I (D0)","IFITM3"
"4684","I-I (D1)","IFITM3"
"4685","I-I (D2)","IFITM3"
"4686","I-I (D3)","IFITM3"
"4687","I-I (D5)","IFITM3"
"4688","ChAd (V1, D3)","IFNA8"
"4689","ChAd (V2, D3)","IFNA8"
"4690","BNT-I (D10, mild)","IFNAR1"
"4691","BNT-I (D26, mild)","IFNAR1"
"4692","BBIBP (V3, D14)","IFNE"
"4693","BNT-I (D1)","IFNE"
"4694","BNT-I (D10, mild)","IFNE"
"4695","BNT-I (D2)","IFNE"
"4696","BNT-I (D26, mild)","IFNE"
"4697","BNT-I (D26, severe)","IFNE"
"4698","BNT-I-BNT (D51, mild)","IFNE"
"4699","ChAd (V2, D7)","IFNE"
"4700","ChAd-BNT (V3, D1)","IFNE"
"4701","I (D10, moderate)","IFNE"
"4702","I (D10, severe)","IFNE"
"4703","I (D26, moderate)","IFNE"
"4704","I (D26, severe)","IFNE"
"4705","I (D51, moderate)","IFNE"
"4706","I (D51, severe)","IFNE"
"4707","I-I (D2)","IFNE"
"4708","ZF2001 (V3, D07)","IFNE"
"4709","ZF2001 (V3, D28)","IFNE"
"4710","BNT-I (D10, severe)","IFNGR1"
"4711","BNT-I (D26, mild)","IFNGR1"
"4712","BNT-I-BNT (D51, mild)","IFNGR1"
"4713","I (D10, moderate)","IFNGR1"
"4714","I (D10, severe)","IFNGR1"
"4715","I (D26, moderate)","IFNGR1"
"4716","I (D26, severe)","IFNGR1"
"4717","I (D51, severe)","IFNGR1"
"4718","BNT-I (D10, mild)","IFNGR2"
"4719","BNT-I (D10, severe)","IFNGR2"
"4720","BNT-I (D26, mild)","IFNGR2"
"4721","I (D10, severe)","IFNGR2"
"4722","I (D26, severe)","IFNGR2"
"4723","I (D51, severe)","IFNGR2"
"4724","I (D1)","IFNL1"
"4725","I (D10, severe)","IFNL1"
"4726","I (D26, severe)","IFNL1"
"4727","ZF2001 (V3, D07)","IFNL1"
"4728","BBIBP (V3, D14)","IFNL2"
"4729","BNT-I (D1)","IFNL2"
"4730","BNT-I (D10, severe)","IFNL2"
"4731","BNT-I (D2)","IFNL2"
"4732","BNT-I (D26, mild)","IFNL2"
"4733","BNT-I (D26, severe)","IFNL2"
"4734","BNT-I (D51, severe)","IFNL2"
"4735","BNT-I-BNT (D51, severe)","IFNL2"
"4736","BNT-MO (V3, D1)","IFNL2"
"4737","ChAd (V2, D3)","IFNL2"
"4738","I (D1)","IFNL2"
"4739","I (D10, moderate)","IFNL2"
"4740","I (D10, severe)","IFNL2"
"4741","I (D26, severe)","IFNL2"
"4742","I (D51, severe)","IFNL2"
"4743","I-I (D0)","IFNL2"
"4744","I-I (D1)","IFNL2"
"4745","I-I (D5)","IFNL2"
"4746","ZF2001 (V3, D07)","IFNL2"
"4747","BNT-I (D2)","IFNL3"
"4748","BNT-I (D26, mild)","IFNL3"
"4749","BNT-I (D3)","IFNL3"
"4750","BNT-I-BNT (D51, severe)","IFNL3"
"4751","BNT-MO (V3, D1)","IFNL3"
"4752","ChAd (V2, D3)","IFNL3"
"4753","ChAd (V2, D7)","IFNL3"
"4754","I (D10, moderate)","IFNL3"
"4755","I (D10, severe)","IFNL3"
"4756","I (D26, severe)","IFNL3"
"4757","I-I (D0)","IFNL3"
"4758","BBIBP (V3, D14)","IFNL4"
"4759","BNT-I (D1)","IFNL4"
"4760","BNT-I (D10, mild)","IFNL4"
"4761","BNT-I (D10, severe)","IFNL4"
"4762","BNT-I (D26, mild)","IFNL4"
"4763","BNT-I (D26, severe)","IFNL4"
"4764","BNT-I (D3)","IFNL4"
"4765","BNT-I-BNT (D51, mild)","IFNL4"
"4766","BNT-I-BNT (D51, severe)","IFNL4"
"4767","BNT-MO (V3, D1)","IFNL4"
"4768","ChAd (V2, D3)","IFNL4"
"4769","ChAd (V2, D7)","IFNL4"
"4770","I (D1)","IFNL4"
"4771","I (D10, severe)","IFNL4"
"4772","I (D26, severe)","IFNL4"
"4773","I-I (D2)","IFNL4"
"4774","I-I (D3)","IFNL4"
"4775","I-I (D5)","IFNL4"
"4776","ZF2001 (V3, D07)","IFNL4"
"4777","ZF2001 (V3, D14)","IFNL4"
"4778","ZF2001 (V3, D28)","IFNL4"
"4779","BNT-I (D1)","IFNLR1"
"4780","BNT-I (D10, mild)","IFNLR1"
"4781","BNT-I (D26, mild)","IFNLR1"
"4782","BNT-I-BNT (D51, mild)","IFNLR1"
"4783","BNT-I (D26, mild)","IGF1R"
"4784","I (D10, severe)","IGF1R"
"4785","I (D26, severe)","IGF1R"
"4786","I (D51, severe)","IGF1R"
"4787","I-I (D0)","IGF1R"
"4788","I-I (D1)","IGF1R"
"4789","I-I (D3)","IGF1R"
"4790","I-I (D5)","IGF1R"
"4791","BNT-I (D10, mild)","IGSF6"
"4792","BNT-I (D51, severe)","IGSF6"
"4793","I (D51, moderate)","IGSF6"
"4794","BNT-I (D1)","IL10"
"4795","BNT-I (D10, mild)","IL10"
"4796","BNT-I (D10, severe)","IL10"
"4797","BNT-I (D2)","IL10"
"4798","BNT-I (D26, mild)","IL10"
"4799","BNT-I (D3)","IL10"
"4800","BNT-I (D51, severe)","IL10"
