"","...1","process","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size","genes","set_size_intervals"
"154",157,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"NFKB2",NA
"155",158,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD6",NA
"156",159,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"MSN",NA
"157",160,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PRF1",NA
"158",161,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"EPHB1",NA
"159",162,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"IMPDH2",NA
"160",163,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"HPRT1",NA
"161",164,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"FLT3",NA
"162",165,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PURA",NA
"163",166,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"MSH3",NA
"164",168,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ITK",NA
"165",169,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CXADR",NA
"166",170,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"JAML",NA
"167",172,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SOS1",NA
"168",173,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"TNFRSF17",NA
"169",174,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SKIL",NA
"170",175,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PACS1",NA
"171",176,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SOS2",NA
"172",177,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CXCL12",NA
"173",178,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CCL3",NA
"174",179,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"DEFA4",NA
"175",180,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SLC12A2",NA
"176",181,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PIK3CG",NA
"177",182,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"DEFA1",NA
"178",183,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"MYB",NA
"179",184,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"MEN1",NA
"180",185,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"KMT2A",NA
"181",186,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ERCC1",NA
"182",187,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD40LG",NA
"183",188,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"RNF168",NA
"184",189,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"SANBR",NA
"185",190,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"IFNE",NA
"186",191,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"MDK",NA
"187",192,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"F2RL1",NA
"188",193,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"LCP1",NA
"189",194,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PSEN1",NA
"190",195,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"IFNA8",NA
"191",196,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD1C",NA
"192",197,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CD46",NA
"193",198,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"JAG1",NA
"194",199,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CR2",NA
"195",200,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"BTN3A2",NA
"196",201,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"GNL1",NA
"197",202,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CR1",NA
"198",203,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"GPR15",NA
"199",204,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"S1PR1",NA
"200",205,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"ITGB7",NA
"201",206,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"GZMM",NA
"202",207,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CTSH",NA
"203",208,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"TAP2",NA
"204",209,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"PPP3CB",NA
"205",210,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"EMP2",NA
"206",211,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CTSC",NA
"207",212,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"IL7R",NA
"208",213,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"B2M",NA
"209",214,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"CAMLG",NA
"210",215,"ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Adaptive","General","General",NA,676,"NCKAP1L",NA
