"process","genes","set_size","immune_system","immune_sub_system","immune_tissue","go_term","gene_set_short"
"ADAPTIVE IMMUNE SYSTEM","CD274",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD209",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CLEC4A",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CD244",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","ERAP1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","LIME1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","RNF125",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","AKIRIN2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","OTUB1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","PAG1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CTNNBL1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","IFNK",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","MCOLN1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","SLAMF7",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","DCLRE1C",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","PDCD1LG2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","PRR7",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","FCRL4",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","JAM3",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","FCAMR",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","HAVCR2",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","ORAI1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","SIGLEC10",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","IL17F",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","TNFRSF13C",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","SH2D1B",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CLEC4C",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","MARCHF8",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","IL4I1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CLEC4D",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","EIF2AK4",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","KLRC4-KLRK1",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","RHOA",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
"ADAPTIVE IMMUNE SYSTEM","CH25H",1113,"Adaptive","General","General","Manual","ADAPTIVE IMMUNE SYSTEM"
