"process","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size","genes"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"GBP1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CFH"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"ADAR"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TAP1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"F2RL1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"HLA-DMB"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"ACOD1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"SFTPD"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CTPS1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"RIGI"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"SARM1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TRIM26"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MBL2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"PSMB8"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"KLRC2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"LCN2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"RNF213"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"C7"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"PRKCQ"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"NMB"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"P0DOX4"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"NLRC5"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"S100A12"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"BPIFC"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"LILRB2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TAP2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"HLA-DPA1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TRIM65"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"HMGB1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"LAIR1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CSK"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"ITGAM"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TREML4"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"PTMS"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"PSMA1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CSF1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"USP14"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"APOBEC3H"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"FCGR2A"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TAX1BP1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD160"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CLU"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"BCL6"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"P0DOX5"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"PELI3"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"HP"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"HEXIM1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TNFAIP8L2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"OTUD7B"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD79A"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD14"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"SFPQ"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"DEFA5"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"PLD3"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"HMGB2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"APOBEC3F"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"BTK"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"PRG2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"KLRC1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD177"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CR1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"KLRK1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"RNF19B"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"NLRP2B"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MST1R"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MASP2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IDO2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"C4A"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"PIK3CG"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MAVS"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"HLA-DOB"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CLEC10A"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TIRAP"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"LBP"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"SIRT2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"DAB2IP"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MIF"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"PARP9"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"STING1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"PSMB9"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"PLPP6"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IL4R"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IL34"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IRGM"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"ZAP70"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"ADARB1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"SSC5D"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"NLRP10"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IL27"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"C1R"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"DHX9"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"P0DOX6"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"C1QBP"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD300C"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"SYK"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD46"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD300LB"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MASP1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"SUSD4"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"ARID5A"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"FCGR1A"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IL31RA"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"NLRP9"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IRF2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD1C"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"GBP6"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MMP3"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"HLA-DRB4"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"C4B"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IRF1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"C17orf99"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MATR3"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"JAML"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IL23R"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IFI30"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"PML"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"GPR183"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"HMHB1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD7"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"ITK"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"SLFN11"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"LACC1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"NLRX1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IL2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"OAS2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IFIT1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"SLC15A3"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD1E"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"P0DOX2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"ZNF683"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TICAM2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"OTUD4"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"HLA-DRB3"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IRF9"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IFITM1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"ETS1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MX2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD8B"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"BTLA"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"B2M"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"APOBEC3A"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"ARG2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD300LD"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IRF8"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"JAK3"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"RAET1L"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD247"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"ZC3HAV1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IFITM3"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TARM1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD3G"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CX3CR1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD86"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"PARP1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"THEMIS2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CFP"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD8B2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MAP4K2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"HCK"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MCOLN2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"GBP7"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"USP27X"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"NLRP6"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"METTL3"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"GP2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD1B"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"EOMES"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"LY86"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"SERINC5"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"BST2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IL31"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MX1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IRAG2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"GATA3"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"BAG6"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"HLA-C"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MYSM1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CTLA4"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"VSTM1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD300LG"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"SKAP1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"FCER1G"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"VTCN1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"SRC"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"C4BPB"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TTC4"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"FCGR3A"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"DEFA6"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"FGL1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TLR4"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CGAS"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TBKBP1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IDO1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"HLA-DMA"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CRTAM"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"DDX60"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CR2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TFE3"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"BCL10"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"GSDMD"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"LILRA4"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TNFRSF17"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TFEB"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"ERAP2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"LILRB4"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"MAP3K8"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"RAET1G"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"TICAM1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"AXL"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"LAG3"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD6"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"LILRA2"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IFI27"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"DCAF15"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"ADSS1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"LAX1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"IFI35"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"LILRB1"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"CD79B"
"IMMUNE SYSTEM PROCESS","Immune system, Process","General","General","Undefined","GO:0002376",509,"BTNL8"
"IMMUNOGLOBULIN HEAVY CHAIN V-D-J RECOMBINATION","V(D)J, Ig Heavy chain","Adaptive","Humoral","B cell","GO:0071707",1,"YY1"
"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Ig, Immune response","Adaptive","Humoral","B cell","GO:0016064",62,"IL4R"
"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Ig, Immune response","Adaptive","Humoral","B cell","GO:0016064",62,"IL9R"
"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Ig, Immune response","Adaptive","Humoral","B cell","GO:0016064",62,"CD19"
"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Ig, Immune response","Adaptive","Humoral","B cell","GO:0016064",62,"PRKCD"
"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Ig, Immune response","Adaptive","Humoral","B cell","GO:0016064",62,"MPL"
"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Ig, Immune response","Adaptive","Humoral","B cell","GO:0016064",62,"FCGR2B"
"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Ig, Immune response","Adaptive","Humoral","B cell","GO:0016064",62,"IL9"
"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Ig, Immune response","Adaptive","Humoral","B cell","GO:0016064",62,"BCL10"
"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Ig, Immune response","Adaptive","Humoral","B cell","GO:0016064",62,"FCER1G"
"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Ig, Immune response","Adaptive","Humoral","B cell","GO:0016064",62,"IL2RB"
"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Ig, Immune response","Adaptive","Humoral","B cell","GO:0016064",62,"CD27"
"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Ig, Immune response","Adaptive","Humoral","B cell","GO:0016064",62,"CSF2RB"
"IMMUNOGLOBULIN V(D)J RECOMBINATION","V(D)J, Ig","Adaptive","Humoral","B cell","GO:0033152",3,"TCF3"
"IMMUNOGLOBULIN V(D)J RECOMBINATION","V(D)J, Ig","Adaptive","Humoral","B cell","GO:0033152",3,"PRKDC"
"IMMUNOGLOBULIN V(D)J RECOMBINATION","V(D)J, Ig","Adaptive","Humoral","B cell","GO:0033152",3,"LIG4"
"IMMUNOLOGICAL SYNAPSE FORMATION","Formation, Immunological synapse","Adaptive","Cellular","T cell","GO:0001771",6,"CD6"
"IMMUNOLOGICAL SYNAPSE FORMATION","Formation, Immunological synapse","Adaptive","Cellular","T cell","GO:0001771",6,"DOCK8"
"IMMUNOLOGICAL SYNAPSE FORMATION","Formation, Immunological synapse","Adaptive","Cellular","T cell","GO:0001771",6,"MSN"
"IMMUNOLOGICAL SYNAPSE FORMATION","Formation, Immunological synapse","Adaptive","Cellular","T cell","GO:0001771",6,"CD81"
"IMMUNOLOGICAL SYNAPSE FORMATION","Formation, Immunological synapse","Adaptive","Cellular","T cell","GO:0001771",6,"PRF1"
"IMMUNOLOGICAL SYNAPSE FORMATION","Formation, Immunological synapse","Adaptive","Cellular","T cell","GO:0001771",6,"EPHB1"
"INDUCTION OF BACTERIAL AGGLUTINATION","Induction of Bacterial agglutination","Undefined","Undefined","Undefined","GO:0043152",1,"RNASE3"
"INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Inflammatory response, Antigenic stimulus","Innate","Inflammation","Undefined","GO:0002437",12,"NOTCH1"
"INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Inflammatory response, Antigenic stimulus","Innate","Inflammation","Undefined","GO:0002437",12,"PNMA1"
"INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Inflammatory response, Antigenic stimulus","Innate","Inflammation","Undefined","GO:0002437",12,"IL20RB"
"INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Inflammatory response, Antigenic stimulus","Innate","Inflammation","Undefined","GO:0002437",12,"HMGB2"
"INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Inflammatory response, Antigenic stimulus","Innate","Inflammation","Undefined","GO:0002437",12,"FOSL2"
"INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Inflammatory response, Antigenic stimulus","Innate","Inflammation","Undefined","GO:0002437",12,"IL5RA"
"INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Inflammatory response, Antigenic stimulus","Innate","Inflammation","Undefined","GO:0002437",12,"IL1RN"
"INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Inflammatory response, Antigenic stimulus","Innate","Inflammation","Undefined","GO:0002437",12,"HMGB1"
