"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"79","MONOV INFLUENZA A_UP","CHAD63-KH_UP",296,81,1697,377,1994,"ACSL1, ADAMTSL4, ADAP2, ADM, ADPRH, AIF1, AIM2, AK4, ALDH1A1, ANKRD22, ANO5, APOBEC3A, APOBEC3B, APOL1, APOL2, APOL3, APOL4, APOL6, BMAL2, ASGR2, ATF3, ATF5, ATP6V1B2, BACH1, BATF2, BATF3, BCL3, BLVRA, SMCO4, SCIMP, C1QA, C1QB, C2, C3AR1, FAM241A, CARD16, CARD17P, CASP1, CASP5, CASP7, CCDC149, CCR1, CCR2, CCRL2, CD14, CD274, CD300E, CD36, CD38, CDC42EP2, CDHR5, CDKN1A, CES1, CLEC4D, CLEC4E, CLEC5A, CLEC6A, CMPK2, CTSB, CTSL, CTSS, CXCL10, CXCL16, CXCR2P1, DDO, DDX60, DHRS9, DMXL2, DOCK4, DPYD, DRAM1, DTX3L, DUSP1, DUSP3, DUSP6, DYSF, EMILIN2, EPB41L3, EPSTI1, ETV7, EXOC3L1, EXT1, GASK1B, FAM20A, FAM20C, CALHM6, FAM72A, FBXO6, FCER1G, FCGR1A, FCGR1BP, FCGR2A, FCGR2C, FCN1, FFAR2, FGL2, FPR2, FRMD3, FZD5, GBP1, GBP1P1, GBP2, GBP3, GBP4, GBP5, GCA, GCH1, GLUL, GM2A, GNB4, GPBAR1, HCAR2, GPR84, HBEGF, HCK, HERC5, H2BC18, HLX, HORMAD1, HSPA6, HSPA7, ICAM1, IDO1, IFI30, IFI35, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFITM3, IFNGR2, IGF2BP3, IGSF6, IL15, IL15RA, IL1B, IL1RN, IL27, IL31RA, IL4I1, IRF1, IRF7, ISG15, ITPRIPL2, JAK2, KCNJ15, KCNJ2, KCTD12, SHTN1, KLF4, KREMEN1, KYNU, LACTB, LAMP3, LAP3, LHFPL2, LILRA1, LILRA5, LILRA6, LILRB1, LILRB2, LILRB3, LILRB4, LILRB5, LMNB1, LMO2, LPCAT2, LRRK2, LTBR, LYN, LYZ, MAFB, MARCKS, MARCO, MCTP1, MEFV, SLC49A3, MNDA, MPEG1, MPZL2, MS4A4A, MSR1, MT2A, MTHFD2, MUC1, MX1, MYOF, NAMPT, NCF1, NCF1B, NCF1C, NEXN, NFAM1, NGFR, NHSL1, NLRC4, NLRP3, NMI, NOD2, NPC2, OAS1, OAS2, OAS3, OASL, ODF3B, P2RX7, P2RY12, P2RY13, PARP14, PARP9, PLA2G4A, PLA2G7, PLEKHO1, PLSCR1, PLXDC2, PRLR, PRRG4, PSMA4, PSMB9, PSME2, PSTPIP2, RAB20, RAB31, RAB39A, RASGEF1B, RBM47, RGS1, RHOQP3, RNF217, RSAD2, RTP4, RUFY4, SAMD4A, SAMD9L, SBNO2, SCARB2, SCARF1, SCO2, SDC3, SDSL, SECTM1, MSRB1, SERPINA1, SERPING1, SIGLEC1, SIGLEC11, SIGLEC16, SLAMF8, SLC1A3, SLC22A16, SLC31A1, SLC31A2, SLC6A12, SLC8A1, SMAD1, SMTNL1, SNX10, SOD2, SORT1, SQOR, SRC, SRGN, STAT1, STAT2, STK32B, STX11, TAP1, TCN2, TFEC, TGM2, TLR1, TLR2, TLR4, TMEM106A, TMEM150B, TMEM51, TNFAIP2, TNFAIP6, TNFSF10, TNFSF13B, TRAFD1, TRPV4, TYMP, UBE2D1, UBE2L6, VAMP5, VDR, VRK2, WARS1, WDFY3, XAF1, ZEB2-AS1, ZNF702P",78.51,14.84,4.77403544011971e-64,63.3211143613261
"80","MONOV INFLUENZA A_UP","CHAD63-KH_DOWN",2,375,1885,377,1892,"CYP27A1, IRAG1",0.53,0.11,0,0
"81","MONOV INFLUENZA A_UP","INACTIVATED INFLUENZA_UP",8,369,1175,377,1527,"ASAP2, CD38, CES1, GASK1B, FRMD3, GBP5, GM2A, PSMA4",2.12,0.52,0,0
"82","MONOV INFLUENZA A_UP","INACTIVATED INFLUENZA_DOWN",40,337,1021,377,1842,"ADAP2, ALDH1A1, APOL3, ATF5, BCL3, CTSB, CXCL16, DMXL2, DUSP1, DYSF, FCER1G, FCGR2A, FCN1, HSPA7, IFI44L, IFITM3, IRF1, IRF7, LILRA3, LILRA6, LILRB1, LILRB3, LYN, LYZ, MIR22HG, MNDA, MPEG1, MX1, MYOF, NCF1, ODF3B, P2RX7, PFKFB3, PLSCR1, SCO2, SERPINA1, STAT2, STX11, TMEM176A, ZMYND15",10.61,2.17,3.08837698900208e-280,279.510269692064
"83","MONOV INFLUENZA A_UP","FLUARIX_DOWN",0,377,24,377,24,"",0,0,4.18960497913471e-39,38.3778269229691
"84","MONOV INFLUENZA A_UP","RVSV ZEBOV_UP",6,371,4,377,10,"CXCL10, HERC5, IFIT1, ISG15, LAMP3, RSAD2",1.59,60,2.42991428598852e-07,6.6144090456522
"85","MONOV INFLUENZA A_UP","LVS F TULARENSIS_DOWN",7,370,40,377,104,"CCR1, FCER1G, FCGR1A, FCGR2A, ICAM1, LAMP3, SOD2",1.86,6.73,5.54730762131747e-49,48.2559177500151
"86","MONOV INFLUENZA A_UP","LVS F TULARENSIS_UP",13,364,57,377,208,"CCR1, CCR2, FCER1G, FCGR1A, FCGR2A, ICAM1, LILRB4, NOD2, SOD2, TAP1, TLR1, TLR2, TLR4",3.45,6.25,4.15427292620174e-59,58.3815049747124
"87","MONOV INFLUENZA A_UP","CN54GP140_UP",2,375,151,377,205,"CCR2, MYOF",0.53,0.98,1.72465108594199e-132,131.763298753795
"88","MONOV INFLUENZA A_UP","CN54GP140_DOWN",1,376,180,377,192,"ATP6V1B2",0.27,0.52,3.07805345848107e-149,148.511723841775
