"source","target","value","type"
"BNT (V3, D1)","DEFA3",1,"Directed"
"BNT (V3, D1)","PLA1A",1,"Directed"
"BNT (V3, D1)","CTSL",1,"Directed"
"BNT (V3, D1)","IFI44L",1,"Directed"
"BNT (V3, D1)","CXCL11",1,"Directed"
"BNT (V3, D1)","MX1",1,"Directed"
"BNT (V3, D1)","OAS3",1,"Directed"
"BNT (V3, D1)","DDX60",1,"Directed"
"BNT (V3, D1)","APOBEC3B",1,"Directed"
"BNT (V3, D1)","IFIT1",1,"Directed"
"BNT (V3, D1)","DEFA1",1,"Directed"
"BNT (V3, D1)","PSD2",-1,"Directed"
"BNT (V3, D1)","LACTB",1,"Directed"
"BNT (V3, D1)","MAFF",1,"Directed"
"BNT (V3, D1)","CCL8",1,"Directed"
"BNT (V3, D1)","IFI27",1,"Directed"
"BNT (V3, D1)","MAFB",1,"Directed"
"BNT (V3, D1)","NCKAP5",-1,"Directed"
"BNT (V3, D1)","TLR7",1,"Directed"
"BNT (V3, D1)","ENPP1",-1,"Directed"
"BNT (V3, D1)","TRIM5",1,"Directed"
"BNT (V3, D1)","IFIT2",1,"Directed"
"BNT (V3, D1)","CRISP3",1,"Directed"
"BNT (V3, D1)","C2",1,"Directed"
"BNT (V3, D1)","IFI6",1,"Directed"
"BNT (V3, D1)","EFNA1",-1,"Directed"
"BNT (V3, D1)","SLC6A12",1,"Directed"
"BNT (V3, D1)","WDFY1",1,"Directed"
"BNT (V3, D1)","IFI35",1,"Directed"
"BNT (V3, D1)","SCO2",1,"Directed"
"BNT (V3, D1)","TAP2",1,"Directed"
"BNT (V3, D1)","HCAR1",1,"Directed"
"BNT (V3, D1)","TFEC",1,"Directed"
"BNT (V3, D1)","SIGLEC1",1,"Directed"
"BNT (V3, D1)","GPR84",1,"Directed"
"BNT (V3, D1)","TRIM6",1,"Directed"
"BNT (V3, D1)","RIGI",1,"Directed"
"BNT (V3, D1)","GRAMD1B",1,"Directed"
"BNT (V3, D1)","DHX58",1,"Directed"
"BNT (V3, D1)","P2RY14",1,"Directed"
"BNT (V3, D1)","RNVU1-7",1,"Directed"
"BNT (V3, D1)","DDX60L",1,"Directed"
"BNT (V3, D1)","CCL3",1,"Directed"
