"condition","genes","base_mean","log2fold_change","lfc_se","stat","pvalue","padj","direction","vaccine","day","dose","infection","type","vac_infec","regimen","variant","severity","prior_infection","previous_vaccination","gse_id","participants","bioprocess"
"BBIBP (V3, D14)","MAFK",0.89657423375008,2.39710238757405,1.22107083486467,1.96311493087107,0.0496328210201972,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","GLI1",17.6514880445807,0.60396314133723,0.300272868350355,2.01138099707541,0.0442852289796001,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","CDKN2D",12.3187680932254,0.576646131829883,0.280067690564217,2.05895271485328,0.0394987684470675,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","CUL4A",3.5946435802636,0.959109050366988,0.464747580416809,2.06372037377109,0.0390442364914037,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","GNB1L",67.4932372580783,0.411267430308311,0.199961187339344,2.05673628857969,0.0397115995067438,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","CCNL1",10.2698842670886,1.25839663896005,0.44783293069334,2.80996896992767,0.00495462766480877,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","YTHDF2",587.941020803687,-0.488989906438999,0.242940107493316,-2.01280023905666,0.0441356487700628,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","ARL8A",5.96825534193962,0.888553164123611,0.445709307640932,1.99357103136701,0.0461989537886381,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","MARF1",19.9739334677912,0.552254609613316,0.244879713748532,2.25520767383953,0.0241202964838474,1,"NEUTRAL","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","PLK2",13.5182135153104,1.02036455331521,0.436436276696548,2.33794624277913,0.0193900369889506,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","SMPD3",1.13642452545224,2.1807960618774,1.00630875365905,2.16712420909366,0.030225384433366,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","CENPP",0.741581800619318,2.34074863758465,1.15811098737611,2.02117816262844,0.0432613254126326,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D14)","PPP6C",1.37113621753591,2.24757792887224,1.01513461485083,2.21406884958063,0.026824043096742,1,"UP","BBIBP",14,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","TSPYL2",74.1448447827799,0.694452022391381,0.258521763667215,2.68624201127346,0.00722607281810874,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","GOLGA8B",50.9354642313311,0.678219243347084,0.261077547663541,2.59776931956297,0.00938315059341203,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","IL1A",1.09681945732046,-3.15763406057659,1.21850715011463,-2.59139559442022,0.00955875410152846,1,"DOWN","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","BABAM2",3.00189060145911,1.40550862766833,0.599811662744205,2.34324991487823,0.0191165732801157,1,"UP","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","CCNB2",0.816965252603949,2.46985609914893,1.24590236706453,1.98238334273989,0.047436352470112,1,"UP","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","HEXIM1",170.00456897295,0.456704350671254,0.160650655279217,2.84284150523683,0.00447132998304292,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","WNT4",2.01916782766859,2.16364621467163,0.848003547293052,2.55145891969238,0.0107272969585902,1,"UP","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","BRSK2",0.733715385701672,2.84618893434946,1.08961550579539,2.61210392033822,0.00899868960893807,1,"UP","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","CCNH",32.8032255300056,0.390616377198565,0.177176756806985,2.20467054617158,0.0274772214130293,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","GADD45B",491.854923020708,0.697313017987976,0.268158520914528,2.60037613427259,0.00931216300190701,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","CDK5RAP3",67.4932372580783,0.411267430308311,0.199961187339344,2.05673628857969,0.0397115995067438,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","RNF4",7.81724358402023,1.21627778093686,0.437891859929738,2.77757568074459,0.00547660846236359,1,"UP","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","FBXO7",67.6416116462461,0.551061843445168,0.18388722105313,2.99673811094221,0.00272885033340311,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","ANAPC16",86.5205216788751,-0.263814237442575,0.127878076259836,-2.06301381095638,0.0391113160223232,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","NABP1",15.1660936777004,0.618633151866471,0.277124977264065,2.23232549434543,0.0255934580829907,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","IFFO1",42.9869885904308,0.341631268396703,0.150062270096015,2.27659669667876,0.0228103203283176,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","IL1B",502.089553278788,-0.915261607681179,0.40220382222509,-2.27561638429423,0.0228689798320552,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","RGCC",202.911152575913,0.579954725062212,0.26445490831453,2.19301932703189,0.0283059866373838,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","STRADB",41.5328122673031,0.997187663803358,0.416535175625508,2.39400588991287,0.0166654811680108,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","MZT1",20.5078906128028,-0.44614088133587,0.201065230224916,-2.21888628300779,0.0264944619449726,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
"BBIBP (V3, D28)","BCL2L1",144.603920442783,0.779545430752063,0.31319950682208,2.48897400465864,0.0128112332657681,1,"NEUTRAL","BBIBP",28,3,"none","IN","vaccine","HO","none","none",NA,NA,"GSE206023",6,"Cell cycle"
